luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-58.50040000,-58.38866774,-0.11173226,-0.06366704,-0.06366704
-58.45740000,-58.38781935,-0.06958065,-0.07846850,-0.07846850
-58.51170000,-58.39264839,-0.11905161,-0.08915342,-0.08915342
-58.48900000,-58.40289355,-0.08610645,-0.09650879,-0.09650879
-58.47170000,-58.41410968,-0.05759032,-0.09476464,-0.09476464
-58.36150000,-58.43071935,0.06921935,-0.06743658,-0.06743658
-58.41110000,-58.44073871,0.02963871,-0.01770057,-0.01770057
-58.37360000,-58.44215161,0.06855161,0.02681806,0.02681806
-58.38030000,-58.44145806,0.06115806,0.05374781,0.05374781
-58.32530000,-58.44254194,0.11724194,0.07222305,0.07222305
-58.37770000,-58.44380968,0.06610968,0.08587138,0.08587138
-58.34500000,-58.44632258,0.10132258,0.09090832,0.09090832
-58.30720000,-58.44737097,0.14017097,0.09738697,0.09738697
-58.11110000,-58.45189032,0.34079032,0.13550513,0.13550513
-58.11860000,-58.45616774,0.33756774,0.21430666,0.21430666
-58.12330000,-58.45970323,0.33640323,0.29251128,0.29251128
-58.28150000,-58.46245161,0.18095161,0.31914547,0.31914547
-58.51870000,-58.46664516,-0.05205484,0.25907261,0.25907261
-58.65580000,-58.46932581,-0.18647419,0.11611394,0.11611394
-58.67220000,-58.47137419,-0.20082581,-0.04659343,-0.04659343
-58.70760000,-58.47275161,-0.23484839,-0.16624294,-0.16624294
-58.68270000,-58.47249032,-0.21020968,-0.22685984,-0.22685984
-58.52350000,-58.46838387,-0.05511613,-0.22434519,-0.22434519
-58.52630000,-58.46342581,-0.06287419,-0.16781399,-0.16781399
-58.54380000,-58.45944839,-0.08435161,-0.10619539,-0.10619539
-58.57830000,-58.46300000,-0.11530000,-0.07857978,-0.07857978
-58.58000000,-58.47238387,-0.10761613,-0.08172894,-0.08172894
-58.54860000,-58.48372258,-0.06487742,-0.09013651,-0.09013651
-58.57800000,-58.49560645,-0.08239355,-0.08832912,-0.08832912
-58.60730000,-58.51351935,-0.09378065,-0.08452744,-0.08452744
-58.58160000,-58.53175806,-0.04984194,-0.08135890,-0.08135890
-58.58560000,-58.54937097,-0.03622903,-0.06999031,-0.06999031
-58.58740000,-58.56333226,-0.02406774,-0.05196612,-0.05196612
-58.59480000,-58.56931290,-0.02548710,-0.03573026,-0.03573026
-58.55250000,-58.57054516,0.01804516,-0.02136166,-0.02136166
-58.51440000,-58.57101290,0.05661290,-0.00033627,-0.00033627
-58.35340000,-58.57048710,0.21708710,0.04412830,0.04412830
-58.28380000,-58.57114194,0.28734194,0.12320317,0.12320317
-58.21990000,-58.57555161,0.35565161,0.21879099,0.21879099
-58.25700000,-58.57765806,0.32065806,0.29669034,0.29669034
-58.43540000,-58.57980645,0.14440645,0.31599962,0.31599962
-58.66860000,-58.58119355,-0.08740645,0.24154513,0.24154513
-58.69650000,-58.58229032,-0.11420968,0.09792224,0.09792224
-58.67560000,-58.58411290,-0.09148710,-0.03340286,-0.03340286
-58.66640000,-58.58512258,-0.08127742,-0.10080624,-0.10080624
-58.68400000,-58.58389677,-0.10010323,-0.11645018,-0.11645018
-58.66930000,-58.57401613,-0.09528387,-0.11166099,-0.11166099
-58.71430000,-58.56347742,-0.15082258,-0.10961272,-0.10961272
-58.70410000,-58.54982903,-0.15427097,-0.12120293,-0.12120293
-58.69400000,-58.53794516,-0.15605484,-0.13897225,-0.13897225
-58.68670000,-58.53243871,-0.15426129,-0.15152187,-0.15152187
-58.69130000,-58.53557742,-0.15572258,-0.15696687,-0.15696687
-58.70300000,-58.54854839,-0.15445161,-0.15782453,-0.15782453
-58.66020000,-58.56459355,-0.09560645,-0.15038440,-0.15038440
-58.59160000,-58.58447097,-0.00712903,-0.12109442,-0.12109442
-58.61040000,-58.60321613,-0.00718387,-0.07214754,-0.07214754
-58.62130000,-58.61610000,-0.00520000,-0.02852044,-0.02852044
