luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-61.07680000,-61.61659355,0.53979355,0.05853923,
-61.48720000,-61.61659355,0.12939355,0.18246560,
-61.49140000,-61.61659355,0.12519355,0.24204342,
-61.52860000,-61.61659355,0.08799355,0.20630868,
-61.53320000,-61.61659355,0.08339355,0.14740451,
-61.60670000,-61.61659355,0.00989355,0.09384243,
-61.75030000,-61.61659355,-0.13370645,0.03316306,
-61.78420000,-61.61659355,-0.16760645,-0.04620149,
-61.80960000,-61.61659355,-0.19300645,-0.12263108,
-61.85340000,-61.61659355,-0.23680645,-0.17892885,
-61.86090000,-61.61659355,-0.24430645,-0.21761092,
-61.86580000,-61.61659355,-0.24920645,-0.24094167,
-61.84710000,-61.61659355,-0.23050645,-0.24922476,
-61.91770000,-61.61659355,-0.30110645,-0.25336585,
-61.92230000,-61.61659355,-0.30570645,-0.26820583,
-61.93200000,-61.61659355,-0.31540645,-0.28964243,
-61.94040000,-61.64298710,-0.29741290,-0.30448338,
-61.94460000,-61.65627742,-0.28832258,-0.30699824,
-61.88890000,-61.67092903,-0.21797097,-0.29303558,
-61.39870000,-61.68355806,0.28485806,-0.20922902,
-61.05880000,-61.69680000,0.63800000,0.01493662,
-60.99050000,-61.70677419,0.71627419,0.32513548,
-61.06500000,-61.71190968,0.64690968,0.57528698,
-61.08690000,-61.71448710,0.62758710,0.68959532,
-61.33050000,-61.71676129,0.38626129,0.67417790,
-61.40400000,-61.71731613,0.31331613,0.56274733,
-61.71350000,-61.71784194,0.00434194,0.39428825,
-61.74630000,-61.71752581,-0.02877419,0.20264869,
-61.73410000,-61.71822258,-0.01587742,0.04763832,
-61.75710000,-61.71220000,-0.04490000,-0.03267779,
-61.78790000,-61.69070000,-0.09720000,-0.06548720,
-61.89500000,-61.65663871,-0.23836129,-0.09908637,
-61.89920000,-61.62264839,-0.27655161,-0.15878684,
-61.94560000,-61.58733226,-0.35826774,-0.23316270,
-61.92010000,-61.56299032,-0.35710968,-0.30157988,
-61.94370000,-61.55688387,-0.38681613,-0.35029719,
-61.91590000,-61.57023548,-0.34566452,-0.37360838,
-61.90950000,-61.58630645,-0.32319355,-0.37076367,
-61.86410000,-61.60506452,-0.25903548,-0.34472251,
-61.88010000,-61.62332903,-0.25677097,-0.30616418,
-61.87060000,-61.63547097,-0.23512903,-0.27064251,
-61.87720000,-61.64540645,-0.23179355,-0.24617303,
-61.85600000,-61.64927742,-0.20672258,-0.22996671,
-61.86870000,-61.65478710,-0.21391290,-0.21834116,
-61.73100000,-61.66205484,-0.06894516,-0.19630283,
-61.25580000,-61.66838065,0.41258065,-0.09770226,
-60.87610000,-61.67482581,0.79872581,0.14398018,
-60.88670000,-61.67696129,0.79026129,0.46038555,
-60.84980000,-61.67926774,0.82946774,0.70707324,
-61.13430000,-61.67923871,0.54493871,0.80179320,
-61.20940000,-61.68063548,0.47123548,0.74269950,
-61.47270000,-61.68056774,0.20786774,0.58599085,
-61.48870000,-61.68197419,0.19327419,0.40019799,
-61.64650000,-61.68280323,0.03630323,0.23720330,
-61.65310000,-61.68591613,0.03281613,0.11599865,
-61.70690000,-61.68668387,-0.02021613,0.03683991,
-61.71200000,-61.67719355,-0.03480645,-0.00836463,
-61.83350000,-61.64946774,-0.18403226,-0.04849704,
-61.91710000,-61.62342903,-0.29367097,-0.11548131,
-61.95940000,-61.59689032,-0.36250968,-0.20918966,
-61.95320000,-61.57838387,-0.37481613,-0.29871649,
-61.98770000,-61.57691613,-0.41078387,-0.36214199,
-61.96120000,-61.59892903,-0.36227097,-0.39380979,
-61.97070000,-61.62511935,-0.34558065,-0.39343025,
-61.94470000,-61.65437419,-0.29032581,-0.36837330,
-61.96340000,-61.67410000,-0.28930000,-0.33260387,
-61.94160000,-61.69382903,-0.24777097,-0.29830017,
-61.95950000,-61.70510000,-0.25440000,-0.27093322,
-61.93520000,-61.71652903,-0.21867097,-0.25065488,
-61.96060000,-61.72237097,-0.23822903,-0.23646854,
-61.90390000,-61.72917097,-0.17472903,-0.22381198,
