luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-66.29060000,-66.05174194,-0.23885806,-0.32512822,-0.32512822
-66.18990000,-66.07626774,-0.11363226,-0.29742679,-0.29742679
-66.00610000,-66.09451935,0.08841935,-0.20075023,-0.20075023
-65.90010000,-66.10731613,0.20721613,-0.05426795,-0.05426795
-65.80800000,-66.12094516,0.31294516,0.10330884,0.10330884
-65.79010000,-66.13218387,0.34208387,0.23495680,0.23495680
-65.85130000,-66.14107097,0.28977097,0.31354467,0.31354467
-66.05100000,-66.15011613,0.09911613,0.31267463,0.31267463
-66.05640000,-66.15787742,0.10147742,0.24069661,0.24069661
-66.06640000,-66.16433871,0.09793871,0.15727540,0.15727540
-66.03270000,-66.16301290,0.13031290,0.10948138,0.10948138
-66.06090000,-66.15578710,0.09488710,0.09629832,0.09629832
-66.02200000,-66.14363548,0.12163548,0.09832805,0.09832805
-65.96310000,-66.12020000,0.15710000,0.11001519,0.11001519
-65.90380000,-66.08409677,0.18029677,0.13274510,0.13274510
-65.94920000,-66.04498065,0.09578065,0.14876171,0.14876171
-66.11700000,-66.01153548,-0.10546452,0.11810224,0.11810224
-66.12570000,-65.98082903,-0.14487097,0.02913532,0.02913532
-66.37550000,-65.95618387,-0.41931613,-0.09951026,-0.09951026
-66.55800000,-65.94301935,-0.61498065,-0.26971175,-0.26971175
-66.54570000,-65.93977097,-0.60592903,-0.45022786,-0.45022786
-66.54950000,-65.93802581,-0.61147419,-0.57550383,-0.57550383
-66.52200000,-65.93510968,-0.58689032,-0.62680838,-0.62680838
-66.49290000,-65.92670968,-0.56619032,-0.62587234,-0.62587234
-66.38870000,-65.92998065,-0.45871935,-0.59028164,-0.59028164
-66.14200000,-65.94310645,-0.19889355,-0.50561792,-0.50561792
-65.90550000,-65.96010000,0.05460000,-0.34691522,-0.34691522
-65.75820000,-65.97759355,0.21939355,-0.13299519,-0.13299519
-65.50200000,-65.99762258,0.49562258,0.09849437,0.09849437
-65.31020000,-66.01921290,0.70901290,0.33595706,0.33595706
-65.15990000,-66.04252581,0.88262581,0.56733634,0.56733634
-65.25380000,-66.06357097,0.80977097,0.74934981,0.74934981
-65.23800000,-66.08070000,0.84270000,0.84364906,0.84364906
-65.24210000,-66.09724516,0.85514516,0.87034871,0.87034871
-65.49200000,-66.10582258,0.61382258,0.84453830,0.84453830
-65.70730000,-66.10808065,0.40078065,0.73949456,0.73949456
-65.73600000,-66.11350000,0.37750000,0.58046811,0.58046811
-65.76090000,-66.12065161,0.35975161,0.44355575,0.44355575
-65.79060000,-66.12947742,0.33887742,0.36427538,0.36427538
-66.15780000,-66.13941935,-0.01838065,0.29211705,0.29211705
-66.47330000,-66.15567097,-0.31762903,0.14127173,0.14127173
-66.55950000,-66.18077742,-0.37872258,-0.07888944,-0.07888944
-66.60320000,-66.21464194,-0.38855806,-0.27187860,-0.27187860
-66.64290000,-66.26327419,-0.37962581,-0.38048892,-0.38048892
-66.63240000,-66.32120323,-0.31119677,-0.40744661,-0.40744661
-66.62650000,-66.38559677,-0.24090323,-0.37387768,-0.37387768
-66.60160000,-66.45490323,-0.14669677,-0.30315947,-0.30315947
-66.64800000,-66.52597742,-0.12202258,-0.22083052,-0.22083052
-66.63860000,-66.60081935,-0.03778065,-0.14589940,-0.14589940
-66.64140000,-66.67548387,0.03408387,-0.07703279,-0.07703279
-66.62800000,-66.74255806,0.11455806,-0.00647615,-0.00647615
-66.71370000,-66.80241613,0.08871613,0.05644492,0.05644492
-66.77120000,-66.86158387,0.09038387,0.09299944,0.09299944
-66.79560000,-66.91949032,0.12389032,0.10668833,0.10668833
-66.80110000,-66.97539677,0.17429677,0.12024121,0.12024121
-66.89250000,-67.01666129,0.12416129,0.13700221,0.13700221
-66.92030000,-67.04589355,0.12559355,0.14223802,0.14223802
-66.95530000,-67.07048387,0.11518387,0.13536225,0.13536225
-67.26580000,-67.09263226,-0.17316774,0.09432820,0.09432820
-67.29780000,-67.11167419,-0.18612581,-0.00460714,-0.00460714
-67.30640000,-67.13277097,-0.17362903,-0.11136243,-0.11136243
-67.30840000,-67.15433871,-0.15406129,-0.17081356,-0.17081356
-67.45710000,-67.17664839,-0.28045161,-0.19786827,-0.19786827
-67.55810000,-67.19758065,-0.36051935,-0.23708416,-0.23708416
-67.55670000,-67.21976774,-0.33693226,-0.29158649,-0.29158649
-67.57130000,-67.24414516,-0.32715484,-0.32970816,-0.32970816
-67.56290000,-67.26896452,-0.29393548,-0.33791648,-0.33791648
