luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-58.59970000,-59.41525806,0.81555806,0.08844518,
-58.46110000,-59.41525806,0.95415806,0.35795673,
-58.40720000,-59.41525806,1.00805806,0.69123163,
-58.45430000,-59.41525806,0.96095806,0.92138312,
-58.47530000,-59.41525806,0.93995806,1.01297181,
-58.65300000,-59.41525806,0.76225806,0.99279510,
-58.62860000,-59.41525806,0.78665806,0.90843155,
-60.98860000,-59.41525806,-1.57334194,0.57078322,
-61.13340000,-59.41525806,-1.71814194,-0.22411256,
-60.89530000,-59.41525806,-1.48004194,-1.07794326,
-60.50550000,-59.41525806,-1.09024194,-1.50151098,
-59.87100000,-59.41525806,-0.45574194,-1.42832473,
-59.02140000,-59.41525806,0.39385806,-0.96033589,
-58.38910000,-59.41525806,1.02615806,-0.25089326,
-57.90320000,-59.41525806,1.51205806,0.50788131,
-58.04860000,-59.41525806,1.36665806,1.11104475,
-58.43910000,-59.44631935,1.00721935,1.38633549,
-59.12200000,-59.48213226,0.36013226,1.27631611,
-59.77080000,-59.51864194,-0.25215806,0.84843589,
-59.86260000,-59.53778387,-0.32481613,0.29643466,
-59.89480000,-59.53419032,-0.36060968,-0.14076542,
-59.89910000,-59.52277742,-0.37632258,-0.36994954,
-59.85190000,-59.51420323,-0.33769677,-0.43811131,
-59.89160000,-59.44453548,-0.44706452,-0.43180446,
-59.86800000,-59.38607419,-0.48192581,-0.42838227,
-59.87340000,-59.34871290,-0.52468710,-0.45140114,
-59.84710000,-59.32542903,-0.52167097,-0.48538765,
-59.86840000,-59.32271613,-0.54568387,-0.51463007,
-59.85760000,-59.34731290,-0.51028710,-0.53075422,
-59.84230000,-59.39059032,-0.45170968,-0.52437750,
-59.54900000,-59.44823871,-0.10076129,-0.45916451,
-59.56260000,-59.49984194,-0.06275806,-0.31734579,
-59.57130000,-59.53904839,-0.03225161,-0.16360706,
-59.53900000,-59.55468065,0.01568065,-0.05691460,
-59.04770000,-59.55093226,0.50323226,0.05543986,
