luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-59.99770000,-62.05757097,2.05987097,0.22338773,
-60.18510000,-62.05757097,1.87247097,0.84581164,
-60.56090000,-62.05757097,1.49667097,1.46434586,
-61.44180000,-62.05757097,0.61577097,1.61599286,
-62.65700000,-62.05757097,-0.59942903,1.19302424,
-62.92450000,-62.05757097,-0.86692903,0.38668323,
-63.00090000,-62.05757097,-0.94332903,-0.38721737,
-62.88300000,-62.05757097,-0.82542903,-0.84811139,
-62.86140000,-62.05757097,-0.80382903,-0.99208138,
-62.75300000,-62.05757097,-0.69542903,-0.94578956,
-62.74890000,-62.05757097,-0.69132903,-0.83409725,
-62.67600000,-62.05757097,-0.61842903,-0.72996162,
-62.66720000,-62.05757097,-0.60962903,-0.65613894,
-62.61990000,-62.05757097,-0.56232903,-0.60882488,
-62.66730000,-62.05757097,-0.60972903,-0.58420790,
-62.67090000,-62.05757097,-0.61332903,-0.58287134,
-62.67130000,-62.14487097,-0.52642903,-0.58585333,
-62.61690000,-62.22392258,-0.39297742,-0.55595486,
-62.62440000,-62.29261935,-0.33178065,-0.48379253,
-62.50590000,-62.33130323,-0.17459677,-0.38499494,
-62.49870000,-62.33103871,-0.16766129,-0.27928841,
-62.01530000,-62.32082258,0.30552258,-0.14742115,
-60.82910000,-62.30919677,1.48009677,0.16614387,
-60.46110000,-62.30110645,1.84000645,0.74531255,
-60.41340000,-62.29356129,1.88016129,1.36565939,
-60.73520000,-62.28545161,1.55025161,1.74167783,
-61.02940000,-62.27346452,1.24406452,1.77817619,
-62.00310000,-62.26370968,0.26060968,1.48438926,
-62.61000000,-62.23559677,-0.37440323,0.89992837,
-62.73090000,-62.17227097,-0.55862903,0.21422046,
-62.72450000,-62.09031935,-0.63418065,-0.32254487,
-62.70400000,-62.00363871,-0.70036129,-0.62367945,
-62.63570000,-61.93341613,-0.70228387,-0.74364566,
-62.69050000,-61.88295806,-0.80754194,-0.77422655,
-62.64100000,-61.86623226,-0.77476774,-0.78322168,
-62.64880000,-61.87363548,-0.77516452,-0.78594978,
-62.60780000,-61.88230323,-0.72549677,-0.77669048,
-62.64050000,-61.90596129,-0.73453871,-0.75796989,
-62.63220000,-61.96750000,-0.66470000,-0.73342804,
-62.62750000,-62.03640000,-0.59110000,-0.69557262,
-62.50160000,-62.10298710,-0.39861290,-0.62558515,
