red_mean,luma_mean
-209.5891,-59.5704
15.8236,-59.5031
-208.7569,-59.2050
18.9223,-58.2525
-208.1082,-58.0632
17.8798,-58.3647
-210.0418,-59.0353
17.0539,-59.3440
-210.7074,-59.5140
16.5486,-59.6391
-210.9768,-59.7230
8.3084,-62.3960
-209.8229,-62.0128
10.0286,-61.4451
-208.9121,-61.1597
11.2511,-60.7544
-208.7888,-60.7053
11.8196,-60.5250
-208.7147,-60.5107
12.0960,-60.4223
-208.6319,-60.4012
13.3513,-59.9944
-206.0925,-59.1667
13.1631,-59.2264
-207.4314,-59.6348
11.0682,-60.3501
-207.9513,-60.5156
10.9460,-60.5525
-207.9908,-60.5657
10.9745,-60.5394
-207.9638,-60.5332
11.0799,-60.4918
-207.8848,-60.4584
11.2576,-60.3999
-207.8487,-60.3977
11.2743,-60.3868
-207.8436,-60.3825
11.3943,-60.3390
-207.7702,-60.3171
11.3654,-60.3568
-206.6039,-59.9597
12.6009,-59.5758
-206.6734,-59.5923
11.0603,-60.0826
-207.3536,-60.3051
10.7691,-60.4082
-207.4178,-60.4241
10.8008,-60.3891
-207.3848,-60.3766
10.8669,-60.3542
-207.3650,-60.3436
10.9310,-60.3198
-207.3618,-60.3206
10.9588,-60.3083
-207.3670,-60.3126
11.0171,-60.2923
-207.3613,-60.2970
11.1409,-60.2567
-205.3405,-59.6061
11.2883,-59.5692
-205.8047,-59.7197
9.6185,-60.2664
-206.7003,-60.5579
9.5001,-60.5918
-206.7848,-60.6214
9.5464,-60.5931
-206.7700,-60.5884
9.6482,-60.5549
-206.6647,-60.5154
9.9390,-60.4051
-206.6987,-60.4221
9.9676,-60.4144
-206.7210,-60.4165
9.9965,-60.4062
-206.6654,-60.4170
11.1010,-60.0422
-204.8634,-59.4896
10.3129,-59.7224
-206.1763,-60.1274
9.2457,-60.4970
-206.4195,-60.5725
9.2595,-60.5624
-206.4198,-60.5634
9.3276,-60.5344
-206.4367,-60.5514
9.4917,-60.4949
-206.4210,-60.4871
9.8167,-60.3755
-206.4732,-60.3903
9.8357,-60.3830
-206.4442,-60.3709
9.9416,-60.3272
-205.8890,-60.1445
12.8105,-59.2531
-205.7699,-59.2164
11.5240,-59.6313
-207.7760,-60.2612
10.1243,-60.7257
-207.8189,-60.7424
9.9144,-60.8059
-207.7542,-60.7634
9.9493,-60.7578
-207.0571,-60.5132
9.9777,-60.5031
-206.7793,-60.4120
9.9534,-60.4258
-206.7377,-60.4123
9.9686,-60.4024
-206.6390,-60.3707
10.0063,-60.3612
-204.7747,-59.7828
11.7273,-59.2212
-204.9661,-59.2850
9.8155,-59.8868
-206.4869,-60.3954
9.2835,-60.5698
-206.4715,-60.5630
9.2495,-60.5802
-206.3748,-60.5298
9.2754,-60.5201
-206.2399,-60.4711
9.3441,-60.4440
-205.8611,-60.3129
9.2720,-60.3441
-205.8613,-60.3433
9.2549,-60.3496
-205.7572,-60.3062
9.3615,-60.2730
-204.1114,-59.7692
10.9958,-59.2372
-204.7028,-59.4120
9.3418,-59.9728
-206.2705,-60.4887
9.2394,-60.5222
-206.5117,-60.6008
9.3331,-60.5376
-206.5159,-60.5490
9.7006,-60.4190
-206.4677,-60.4068
10.0281,-60.2909
-206.5086,-60.3048
10.0055,-60.3111
-206.5000,-60.3081
10.0313,-60.2986
-206.5006,-60.3001
10.1854,-60.2467
-204.5517,-59.6126
10.3353,-59.5615
-204.7332,-59.6281
8.8898,-60.1034
-205.3361,-60.3099
8.7573,-60.3547
-205.3814,-60.3675
8.8219,-60.3327
-205.5869,-60.4030
8.8150,-60.4038
-205.6165,-60.4163
8.8351,-60.4049
-205.6670,-60.4214
8.8761,-60.4054
-205.6442,-60.3973
8.9770,-60.3600
-204.9349,-60.1516
11.2333,-59.3981
-204.7436,-59.3441
10.7454,-59.4901
-206.7334,-60.1841
10.3734,-60.3179
-207.4087,-60.5251
10.3903,-60.5013
-207.4301,-60.5136
10.6143,-60.4325
-207.1784,-60.3404
10.9086,-60.2369
-207.2035,-60.2450
10.9299,-60.2405
-207.1991,-60.2401
10.9830,-60.2144
-207.1901,-60.2376
11.7221,-59.9804
-204.4274,-59.1138
12.3938,-58.9084
-205.8253,-59.3445
10.3301,-60.0019
-207.3528,-60.5081
10.0174,-60.6095
-207.3373,-60.6045
10.0045,-60.6076
-207.2777,-60.5831
9.9894,-60.5906
-207.0022,-60.4868
10.2760,-60.3977
-206.6662,-60.2750
10.3095,-60.2782
-206.4732,-60.2086
