luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-58.14730000,-59.49109032,1.34379032,0.14573062,
-60.27010000,-59.49109032,-0.77900968,0.33482483,
-60.35020000,-59.49109032,-0.85910968,0.13200013,
-60.31230000,-59.49109032,-0.82120968,-0.34822708,
-60.21330000,-59.49109032,-0.72220968,-0.69615561,
-59.86330000,-59.49109032,-0.37220968,-0.78846407,
-59.81540000,-59.49109032,-0.32430968,-0.66937266,
-59.81570000,-59.49109032,-0.32460968,-0.48787042,
-59.79030000,-59.49109032,-0.29920968,-0.35780432,
-59.92820000,-59.49109032,-0.43710968,-0.30963762,
-60.04990000,-59.49109032,-0.55880968,-0.34819409,
-60.30930000,-59.49109032,-0.81820968,-0.46648358,
-60.32690000,-59.49109032,-0.83580968,-0.62963134,
-60.30220000,-59.49109032,-0.81110968,-0.76523087,
-60.29050000,-59.49109032,-0.79940968,-0.82872209,
-60.11070000,-59.49109032,-0.61960968,-0.81752625,
-57.87570000,-59.54964839,1.67394839,-0.49895784,
-57.22360000,-59.54950645,2.32590645,0.36469332,
-57.30290000,-59.54707742,2.24417742,1.40452866,
-58.02930000,-59.54732581,1.51802581,2.02232530,
-58.53920000,-59.54817097,1.00897097,2.01928100,
-59.16200000,-59.52443226,0.36243226,1.56516212,
-59.32780000,-59.44379677,0.11599677,0.94556200,
-59.75210000,-59.36149032,-0.39060968,0.36475718,
-59.72160000,-59.29357097,-0.42802903,-0.09269646,
-59.71630000,-59.24565484,-0.47064516,-0.38101958,
-59.54190000,-59.21102258,-0.33087742,-0.48980508,
-59.53480000,-59.17303226,-0.36176774,-0.47321017,
-59.44350000,-59.14710968,-0.29639032,-0.40926558,
-59.58490000,-59.12603871,-0.45886129,-0.36512040,
-59.57260000,-59.10393226,-0.46866774,-0.37549634,
-59.96260000,-59.08705484,-0.87554516,-0.46220202,
-60.26570000,-59.13855161,-1.12714839,-0.65163765,
