luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-60.69740000,-60.95900000,0.26160000,0.02836985,
-63.01610000,-60.95900000,-2.05710000,-0.14145949,
-63.41700000,-60.95900000,-2.45800000,-0.81729140,
-63.38310000,-60.95900000,-2.42410000,-1.69208557,
-63.05420000,-60.95900000,-2.09520000,-2.24974775,
-62.67230000,-60.95900000,-1.71330000,-2.35042542,
-62.47560000,-60.95900000,-1.51660000,-2.12544824,
-62.08720000,-60.95900000,-1.12820000,-1.77056525,
-62.30060000,-60.95900000,-1.34160000,-1.44678741,
-62.17290000,-60.95900000,-1.21390000,-1.26345231,
-61.75930000,-60.95900000,-0.80030000,-1.15392361,
-61.64450000,-60.95900000,-0.68550000,-0.99885937,
-61.55820000,-60.95900000,-0.59920000,-0.81778369,
-60.87680000,-60.95900000,0.08220000,-0.60210179,
-60.06190000,-60.95900000,0.89710000,-0.22369085,
-60.11160000,-60.95900000,0.84740000,0.28644174,
-60.02470000,-60.98348710,0.95878710,0.70593121,
-59.08860000,-60.91138387,1.82278387,1.02772265,
-58.05530000,-60.82669677,2.77139677,1.48188504,
-57.43280000,-60.74319032,3.31039032,2.13811178,
-57.46940000,-60.66825806,3.19885806,2.78021249,
-58.22820000,-60.58538065,2.35718065,3.08236637,
-58.70920000,-60.49754194,1.78834194,2.89136500,
-60.05660000,-60.41624516,0.35964516,2.26022253,
-60.37390000,-60.34828065,-0.02561935,1.35260567,
-60.84780000,-60.31200000,-0.53580000,0.45887529,
-61.18280000,-60.30072581,-0.88207419,-0.23283355,
-61.77220000,-60.29400323,-1.47819677,-0.75672612,
-61.86020000,-60.28951290,-1.57068710,-1.17803730,
-61.68650000,-60.30057419,-1.38592581,-1.44935075,
-61.65210000,-60.34238065,-1.30971935,-1.51800502,
-61.45650000,-60.38983548,-1.06666452,-1.43091418,
-60.78090000,-60.44380645,-0.33709355,-1.19305447,
-60.79170000,-60.52742581,-0.26427419,-0.81898168,
-60.79440000,-60.64620000,-0.14820000,-0.45730516,
-60.73130000,-60.78440645,0.05310645,-0.20147205,
-60.10310000,-60.92199032,0.81889032,0.04975718,
-59.75260000,-61.03399677,1.28139677,0.42865706,
-59.56700000,-61.13086129,1.56386129,0.89690247,
-60.19370000,-61.18274516,0.98904516,1.23890508,
-61.04820000,-61.21695484,0.16875484,1.21028083,
-61.40980000,-61.21494516,-0.19485484,0.79909950,
-61.43610000,-61.18882258,-0.24727742,0.27377751,
-61.41900000,-61.14502258,-0.27397742,-0.11286809,
-61.21970000,-61.11804516,-0.10165484,-0.28144231,
-61.35790000,-61.11365161,-0.24424839,-0.29004096,
-61.58270000,-61.13406774,-0.44863226,-0.27955231,
-61.69780000,-61.16630645,-0.53149355,-0.33645604,
-61.68080000,-61.22024839,-0.46055161,-0.42208225,
-61.73730000,-61.26849677,-0.46880323,-0.47399312,
-61.71720000,-61.31530000,-0.40190000,-0.47973886,
-61.73450000,-61.36284516,-0.37165484,-0.45173591,
-61.70040000,-61.42913871,-0.27126129,-0.40067954,
-61.71200000,-61.50624194,-0.20575806,-0.33244138,
-61.66500000,-61.58990645,-0.07509355,-0.24919469,
-61.43440000,-61.65964194,0.22524194,-0.12937627,
-60.78550000,-61.70210000,0.91660000,0.10412964,
-60.37300000,-61.73100645,1.35800645,0.50209878,
-60.41440000,-61.75547419,1.34107419,0.94746954,
-61.02390000,-61.75469355,0.73079355,1.19240129,
-61.55030000,-61.72170968,0.17140968,1.07386877,
-62.28500000,-61.66873871,-0.61626129,0.62076334,
-62.45590000,-61.63144516,-0.82445484,0.00605442,
-62.45310000,-61.61869677,-0.83440323,-0.52392440,
-62.28740000,-61.62483871,-0.66256129,-0.80374766,
-62.24530000,-61.64593548,-0.59936452,-0.84132668,
-62.20520000,-61.66965806,-0.53554194,-0.74798745,
-62.15820000,-61.69168065,-0.46651935,-0.62623270,
-62.14280000,-61.71353226,-0.42926774,-0.52252309,
-62.16060000,-61.72580000,-0.43480000,-0.45444972,
-62.35550000,-61.74227419,-0.61322581,-0.44350081,
-62.36440000,-61.76619355,-0.59820645,-0.49274137,
-62.30590000,-61.81164194,-0.49425806,-0.54416370,
-62.19460000,-61.86856452,-0.32603548,-0.53154023,
-61.39480000,-61.92437097,0.52957097,-0.36392269,
-60.19720000,-61.95756774,1.76036774,0.11649331,
-59.71580000,-61.97367742,2.25787742,0.89950448,
-60.42660000,-61.96551290,1.53891290,1.60039299,
-61.30260000,-61.94982903,0.64722903,1.77301124,
-61.87120000,-61.93071935,0.05951935,1.37131837,
-62.39130000,-61.89198387,-0.49931613,0.68045399,
-62.45260000,-61.81675484,-0.63584516,-0.00042069,
-62.41720000,-61.73082581,-0.68637419,-0.47852798,
-62.37780000,-61.66228387,-0.71551613,-0.71509040,
-62.09230000,-61.61893871,-0.47336129,-0.75943884,
-62.17570000,-61.59918065,-0.57651935,-0.68658467,
-62.17590000,-61.59249355,-0.58340645,-0.60573708,
-62.19440000,-61.58618710,-0.60821290,-0.57284511,
-62.13760000,-61.58060323,-0.55699677,-0.56971145,
-62.14440000,-61.57480968,-0.56959032,-0.57014119,
