red_mean,luma_mean
-234.1486,-82.5268
14.2804,-81.8708
-234.1218,-81.8560
14.4430,-81.7633
-233.9640,-81.7063
14.9804,-81.5027
-233.8172,-81.4250
15.4741,-81.1294
-233.8876,-81.1569
15.6107,-81.1135
-233.9146,-81.1249
15.6839,-81.0866
-234.1058,-81.0198
15.8316,-80.8678
-234.0793,-80.8612
16.0768,-80.6887
-234.1516,-80.7230
16.0084,-80.7589
-234.1434,-80.7619
16.0678,-80.7399
-234.2971,-80.8521
16.0393,-80.8885
-234.3065,-80.8968
16.0986,-80.9043
-234.3403,-80.9317
16.1180,-80.9467
-234.0891,-80.8941
16.0506,-80.7918
-233.8451,-80.5319
16.0664,-80.5066
-233.6367,-80.3700
16.4072,-79.7768
-233.4156,-79.6501
16.8641,-79.2373
-233.2728,-79.1440
17.0404,-78.7600
-233.1996,-78.7197
16.0134,-79.7088
-233.2249,-79.7014
15.2165,-80.4141
-233.4510,-80.5841
15.2483,-80.6070
-233.4597,-80.6156
15.3890,-80.6036
-233.4918,-80.6468
15.3509,-80.6810
-233.5025,-80.6875
15.4170,-80.6958
-233.4765,-80.6998
15.4601,-80.6925
-233.4381,-80.6953
15.5200,-80.6892
-233.5906,-80.7943
15.4833,-80.8319
-233.5739,-80.8343
15.5094,-80.8218
-233.5460,-80.8282
15.5906,-80.8195
-233.5539,-80.8225
15.6149,-80.8175
-233.6728,-80.9330
15.4980,-81.0258
-233.7311,-81.0609
15.5917,-81.0762
-233.6875,-81.0611
15.6488,-81.0399
-233.6318,-81.0290
15.6895,-81.0213
-233.6673,-81.0643
15.7056,-81.0734
-233.6807,-81.0827
15.7928,-81.0812
-233.6900,-81.0700
15.8467,-81.0462
-233.6949,-81.0420
15.9251,-81.0001
-233.7330,-81.0345
15.9290,-81.0406
-233.7390,-81.0442
15.9974,-81.0348
-233.8080,-81.0885
16.0041,-81.1170
-233.8184,-81.1236
15.9934,-81.1534
-234.0082,-81.2809
15.9066,-81.3461
-234.0251,-81.3538
15.9822,-81.3754
-234.0477,-81.3826
15.9987,-81.3778
-234.0520,-81.3730
16.0429,-81.3629
-233.9024,-81.2726
16.0032,-81.2645
-233.7321,-81.1801
15.9342,-81.2362
-233.7810,-81.4702
15.9276,-81.4832
-233.7774,-81.4834
15.9202,-81.4907
-233.6798,-81.4125
15.8843,-81.4337
-233.6624,-81.4292
15.8797,-81.4317
-233.6454,-81.4262
15.7225,-81.5439
-233.6319,-81.5442
15.5305,-81.6597
-233.6361,-81.6820
15.5838,-81.6609
-233.5881,-81.6378
15.5818,-81.6398
-233.4815,-81.5850
15.7014,-81.5506
-233.3685,-81.5150
15.6957,-81.5163
-233.3004,-81.4871
15.6363,-81.5252
-233.2598,-81.5225
15.6333,-81.5269
-233.1969,-81.5169
15.7570,-81.4736
-233.1260,-81.4541
15.7428,-81.4590
-233.0946,-81.4396
15.5337,-81.5890
-233.1063,-81.6026
15.4478,-81.6551
-233.0919,-81.6808
15.4534,-81.6802
