luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-63.13350000,-63.78281613,0.64931613,0.07041667,
-63.32890000,-63.78281613,0.45391613,0.25183386,
-63.61160000,-63.78281613,0.17121613,0.38645932,
-63.68090000,-63.78281613,0.10191613,0.35810836,
-63.77620000,-63.78281613,0.00661613,0.23533630,
-63.73180000,-63.78281613,0.05101613,0.11308042,
-63.90840000,-63.78281613,-0.12558387,0.02416172,
-63.88350000,-63.78281613,-0.10068387,-0.04660331,
-64.05220000,-63.78281613,-0.26938387,-0.11307052,
-63.99860000,-63.78281613,-0.21578387,-0.17744510,
-63.97890000,-63.78281613,-0.19608387,-0.21777682,
-64.05100000,-63.78281613,-0.26818387,-0.23086771,
-64.02770000,-63.78281613,-0.24488387,-0.24078125,
-63.96280000,-63.78281613,-0.17998387,-0.24113322,
-63.97810000,-63.78281613,-0.19528387,-0.22341423,
-63.88000000,-63.78281613,-0.09718387,-0.19340195,
-63.78580000,-63.78913226,0.00333226,-0.14206588,
-63.67440000,-63.78567419,0.11127419,-0.06221973,
-63.67240000,-63.77295806,0.10055806,0.02500897,
-63.74350000,-63.75744839,0.01394839,0.07668432,
-63.78230000,-63.74160968,-0.04069032,0.06901144,
-63.76040000,-63.72756774,-0.03283226,0.02581483,
-63.74530000,-63.70996452,-0.03533548,-0.01418609,
-63.73530000,-63.69437419,-0.04092581,-0.03613797,
-63.78990000,-63.67547419,-0.11442581,-0.05240787,
-63.93480000,-63.66387742,-0.27092258,-0.09337233,
-63.90960000,-63.65495161,-0.25464839,-0.16439766,
-63.84580000,-63.64759355,-0.19820645,-0.22128458,
-63.74510000,-63.63956774,-0.10553226,-0.22503950,
-63.68500000,-63.63300968,-0.05199032,-0.17861028,
-63.47360000,-63.62517097,0.15157097,-0.09297233,
-63.32930000,-63.61882258,0.28952258,0.03263142,
-63.22170000,-63.61329355,0.39159355,0.17924736,
-63.21740000,-63.60869677,0.39129677,0.30586585,
-63.20010000,-63.60303548,0.40293548,0.38360528,
-63.28520000,-63.59276774,0.30756774,0.40456761,
-63.29650000,-63.58012258,0.28362258,0.37675620,
-63.36270000,-63.56723871,0.20453871,0.32172511,
-63.40020000,-63.55435484,0.15415484,0.25688530,
-63.46630000,-63.54054839,0.07424839,0.18895113,
-63.63910000,-63.52759677,-0.11150323,0.10658399,
-63.70220000,-63.51122581,-0.19097419,-0.00211530,
-63.82290000,-63.49624194,-0.32665806,-0.12394854,
-63.77890000,-63.48348710,-0.29541290,-0.23167633,
-63.75950000,-63.47755806,-0.28194194,-0.29476201,
-63.73510000,-63.47365161,-0.26144839,-0.30806267,
-63.68320000,-63.47874194,-0.20445806,-0.28802120,
-63.61440000,-63.49686452,-0.11753548,-0.24229218,
-63.53190000,-63.51920323,-0.01269677,-0.17200656,
-63.49690000,-63.54114194,0.04424194,-0.08623117,
-63.42520000,-63.56347742,0.13827742,0.00107111,
-63.39030000,-63.58578065,0.19548065,0.08375171,
-63.36100000,-63.60397419,0.24297419,0.15688425,
-63.34590000,-63.62086129,0.27496129,0.21529619,
-63.30730000,-63.63813226,0.33083226,0.26193808,
-63.38840000,-63.66132903,0.27292903,0.29399360,
-63.42730000,-63.67626774,0.24896774,0.29850812,
-63.44510000,-63.68645806,0.24135806,0.28019559,
-63.45040000,-63.68792903,0.23752903,0.25806197,
-63.56130000,-63.68660000,0.12530000,0.23051440,
-63.56390000,-63.68266774,0.11876774,0.18776705,
-63.63140000,-63.67571935,0.04431935,0.13717352,
-63.89110000,-63.66359355,-0.22750645,0.05975162,
-63.91420000,-63.64792258,-0.26627742,-0.06366668,
-63.89750000,-63.63444194,-0.26305806,-0.18539394,
-63.89250000,-63.62128387,-0.27121613,-0.25818222,
-63.97660000,-63.61052258,-0.36607742,-0.29588049,
-63.86050000,-63.59875484,-0.26174516,-0.31645561,
-63.88620000,-63.58976774,-0.29643226,-0.31419917,
-63.93560000,-63.58135161,-0.35424839,-0.30829846,
-64.18540000,-63.57636452,-0.60903548,-0.34775659,
-64.10220000,-63.56900968,-0.53319032,-0.43751434,
-64.01810000,-63.56168387,-0.45641613,-0.50683693,
-63.86850000,-63.55594516,-0.31255484,-0.49925299,
-63.73770000,-63.54953226,-0.18816774,-0.41801811,
-63.63760000,-63.54809032,-0.08950968,-0.29583267,
-63.51970000,-63.54712903,0.02742903,-0.16634233,
-63.30730000,-63.54386452,0.23656452,-0.03200848,
-63.12860000,-63.53236774,0.40376774,0.12173423,
-63.11400000,-63.52269032,0.40869032,0.27430182,
-63.08900000,-63.51132258,0.42232258,0.38100045,
-63.09160000,-63.49938065,0.40778065,0.42905987,
-63.02550000,-63.48193871,0.45643871,0.44163242,
-63.08240000,-63.46799032,0.38559032,0.43900589,
-63.08500000,-63.44818387,0.36318387,0.42027116,
-63.15270000,-63.42572903,0.27302903,0.38233251,
-63.16040000,-63.39495484,0.23455484,0.32872120,
-63.20020000,-63.36558387,0.16538387,0.26786746,
-63.26720000,-63.34230323,0.07510323,0.20219265,
-63.25160000,-63.32463548,0.07303548,0.13620019,
-63.51660000,-63.31175161,-0.20484839,0.05836080,0.05836080
-63.53410000,-63.30172258,-0.23237742,-0.05287906,-0.05287906
-63.53020000,-63.29537097,-0.23482903,-0.16262634,-0.16262634
-63.53470000,-63.29489032,-0.23980968,-0.22835943,-0.22835943
-63.61420000,-63.29949677,-0.31470323,-0.26135526,-0.26135526
-63.54510000,-63.30242258,-0.24267742,-0.27882773,-0.27882773
-63.52230000,-63.30651290,-0.21578710,-0.27347592,-0.27347592
-63.43590000,-63.31096452,-0.12493548,-0.23984992,-0.23984992
-63.42810000,-63.31622903,-0.11187097,-0.18797731,-0.18797731
-63.27220000,-63.31650645,0.04430645,-0.12330742,-0.12330742
-63.23950000,-63.32123226,0.08173226,-0.04336030,-0.04336030
-63.23140000,-63.32468387,0.09328387,0.03296596,0.03296596
-63.19170000,-63.32828387,0.13658387,0.08631636,0.08631636
-63.29640000,-63.32993871,0.03353871,0.10884633,0.10884633
-63.32080000,-63.32763548,0.00683548,0.09146592,0.09146592
-63.33830000,-63.32408065,-0.01421935,0.04996030,0.04996030
-63.32670000,-63.30567097,-0.02102903,0.01075392,0.01075392
-63.32280000,-63.28366129,-0.03913871,-0.01645421,-0.01645421
-63.29240000,-63.26002581,-0.03237419,-0.03206034,-0.03206034
-63.27140000,-63.23084194,-0.04055806,-0.03867205,-0.03867205
-63.20470000,-63.19758710,-0.00711290,-0.03703226,-0.03703226
-63.21580000,-63.16761290,-0.04818710,-0.03162491,-0.03162491
