luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-61.01430000,-61.11495806,0.10065806,0.01091611,
-61.06860000,-61.11495806,0.04635806,0.03643601,
-61.02470000,-61.11495806,0.09025806,0.05932787,
-60.88660000,-61.11495806,0.22835806,0.09008157,
-60.96430000,-61.11495806,0.15065806,0.13622780,
-60.33520000,-61.11495806,0.77975806,0.23349241,
-58.86910000,-61.11495806,2.24585806,0.59148253,
-58.92630000,-61.11495806,2.18865806,1.25529225,
-60.02100000,-61.11495806,1.09395806,1.75414747,
-61.32170000,-61.11495806,-0.20674194,1.60059799,
-61.89870000,-61.11495806,-0.78374194,0.84731270,
-61.96840000,-61.11495806,-0.85344194,-0.03952392,
-61.96300000,-61.11495806,-0.84804194,-0.66030856,
-61.96110000,-61.11495806,-0.84614194,-0.93522645,
-61.86490000,-61.11495806,-0.74994194,-0.97187197,
-61.85920000,-61.11495806,-0.74424194,-0.89681446,
-61.79990000,-61.13726774,-0.66263226,-0.79905043,
-61.70550000,-61.15927097,-0.54622903,-0.70568984,
-61.61760000,-61.18244516,-0.43515484,-0.60805451,
-61.62940000,-61.21015161,-0.41924839,-0.51300262,
-61.63900000,-61.23410968,-0.40489032,-0.44293403,
-61.63870000,-61.27937419,-0.35932581,-0.40125124,
-61.61750000,-61.37096129,-0.24653871,-0.36280843,
-61.61930000,-61.46090323,-0.15839677,-0.30308649,
-61.59860000,-61.51351290,-0.08508710,-0.22335296,
-61.57500000,-61.52442581,-0.05057419,-0.14278012,
-61.32770000,-61.51364839,0.18594839,-0.05581168,
-60.27650000,-61.50077742,1.22427742,0.16306765,
-59.48510000,-61.48342258,1.99832258,0.66283336,
-60.03140000,-61.46771613,1.43631613,1.25272084,
-61.05540000,-61.45501290,0.39961290,1.46437358,
-61.70590000,-61.44264516,-0.26325484,1.10886959,
-61.75070000,-61.43113871,-0.31956129,0.46885288,
-61.74310000,-61.41033226,-0.33276774,-0.06756287,
-61.74550000,-61.33424516,-0.41125484,-0.35654324,
-61.70700000,-61.25735161,-0.44964839,-0.46581887,
-61.73840000,-61.20337742,-0.53502258,-0.49789053,
-61.70830000,-61.19168065,-0.51661935,-0.51271986,
-61.71450000,-61.19858710,-0.51591290,-0.52094341,
-61.65190000,-61.20636129,-0.44553871,-0.51376396,
-61.66000000,-61.21433226,-0.44566774,-0.48958120,
-61.56460000,-61.22177742,-0.34282258,-0.45184240,
-61.56940000,-61.23148710,-0.33791290,-0.40343253,
-61.42500000,-61.27527419,-0.14972581,-0.34007643,
-61.47420000,-61.34507097,-0.12912903,-0.25597144,
-61.47110000,-61.39723226,-0.07386774,-0.17102750,
-61.47580000,-61.41604516,-0.05975484,-0.10692033,
-61.44320000,-61.41560323,-0.02759677,-0.06456227,
-61.06050000,-61.41348065,0.35298065,0.00243408,
-59.25890000,-61.41153871,2.15263871,0.32923316,
-59.24570000,-61.40756774,2.16186774,1.02769462,
-59.96580000,-61.40470323,1.43890323,1.65754647,
-61.27610000,-61.40144839,0.12534839,1.69457523,
-61.83160000,-61.39729355,-0.43430645,1.10713740,
-61.86030000,-61.37526452,-0.48503548,0.31093791,
-61.84570000,-61.32079032,-0.52490968,-0.28083614,
-61.80580000,-61.27626129,-0.52953871,-0.56696795,
-61.62870000,-61.26610323,-0.36259677,-0.62112937,
-61.63390000,-61.27111290,-0.36278710,-0.54395312,
-61.64880000,-61.28087419,-0.36792581,-0.44189532,
-61.64840000,-61.29030000,-0.35810000,-0.37643910,
-61.63860000,-61.29676774,-0.34183226,-0.34742434,
-61.69220000,-61.30387097,-0.38832903,-0.34277986,
-61.68490000,-61.31058387,-0.37431613,-0.35453179,
