luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-60.18580000,-60.19575484,0.00995484,0.00107958,
-60.22680000,-60.19575484,-0.03104516,-0.00026053,
-60.46130000,-60.19575484,-0.26554516,-0.03501602,
-60.46570000,-60.19575484,-0.26994516,-0.12087450,
-60.64900000,-60.19575484,-0.45324516,-0.23164825,
-60.66930000,-60.19575484,-0.47354516,-0.34455511,
-60.72580000,-60.19575484,-0.53004516,-0.43955632,
-60.67860000,-60.19575484,-0.48284516,-0.49711457,
-60.68820000,-60.19575484,-0.49244516,-0.51498855,
-60.64660000,-60.19575484,-0.45084516,-0.50521684,
-60.64740000,-60.19575484,-0.45164516,-0.48318954,
-60.60790000,-60.19575484,-0.41214516,-0.45828366,
-60.57360000,-60.19575484,-0.37784516,-0.43108595,
-60.07770000,-60.19575484,0.11805484,-0.34947117,
-59.88140000,-60.19575484,0.31435484,-0.15376691,
-59.83250000,-60.19575484,0.36325484,0.09419020,
-60.06560000,-60.17785161,0.11225161,0.25551358,
-60.04990000,-60.15861613,0.10871613,0.27038656,
-60.21270000,-60.13397419,-0.07872581,0.18493780,
-60.20860000,-60.10832581,-0.10027419,0.06197423,
-60.23740000,-60.07800323,-0.15939677,-0.05073139,
-60.19370000,-60.04642258,-0.14727742,-0.12520157,
-60.23830000,-60.01325161,-0.22504839,-0.16769095,
-60.09050000,-59.98089032,-0.10960968,-0.18483568,
-59.95230000,-59.95489032,0.00259032,-0.15788769,
-59.79170000,-59.93075161,0.13905161,-0.07726044,
-59.92400000,-59.91390000,-0.01010000,0.01067946,
-59.90720000,-59.89746129,-0.00973871,0.04523446,
-59.46850000,-59.87348065,0.40498065,0.07707242,
-59.30940000,-59.84361613,0.53421613,0.19825919,
-59.40100000,-59.82639032,0.42539032,0.35587313,
-59.63080000,-59.81230645,0.18150645,0.42040973,
-59.63050000,-59.79338710,0.16288710,0.36128007,
-59.69740000,-59.77412258,0.07672258,0.24950124,
-59.67060000,-59.75686774,0.08626774,0.15016113,
-59.70900000,-59.73999032,0.03099032,0.08451422,
-59.69030000,-59.72396774,0.03366774,0.04716100,
-59.69750000,-59.70839032,0.01089032,0.02692814,
-59.67540000,-59.69838710,0.02298710,0.01745948,
-59.88220000,-59.70416129,-0.17803871,-0.00620062,
-59.89830000,-59.72577097,-0.17252903,-0.06570370,
-60.12500000,-59.75428065,-0.37071935,-0.15264323,
-60.09830000,-59.77568387,-0.32261613,-0.24757596,
-59.83020000,-59.79570000,-0.03450000,-0.28362864,
-59.15190000,-59.80967742,0.65777742,-0.14294349,
-59.34740000,-59.82899677,0.48159677,0.15398056,
-59.39590000,-59.84597419,0.45007419,0.40414622,
-59.47910000,-59.85613226,0.37703226,0.49738327,
-59.45270000,-59.86771935,0.41501935,0.48621940,
-59.67780000,-59.88659677,0.20879677,0.42537700,
-59.68540000,-59.91067742,0.22527742,0.33665265,
-59.74070000,-59.93359355,0.19289355,0.25544135,
-59.71080000,-59.95167419,0.24087419,0.21176247,
-59.92820000,-59.95927097,0.03107097,0.18284806,
-60.26950000,-59.96516452,-0.30433548,0.09439324,
-60.62220000,-59.96202258,-0.66017742,-0.10830216,
-60.67550000,-59.97019677,-0.70530323,-0.37705414,
-60.58750000,-59.98022258,-0.60727742,-0.58751890,
-60.52770000,-59.99787097,-0.52982903,-0.66378876,
-59.90180000,-60.01536774,0.11356774,-0.56802728,
-59.90830000,-60.03075806,0.12245806,-0.31138134,
-59.92730000,-60.03667742,0.10937742,-0.04573656,
-59.94570000,-60.04454516,0.09884516,0.10445823,
-59.98970000,-60.06236129,0.07266129,0.14704561,
-60.28260000,-60.08380645,-0.19879355,0.10142669,
-60.41710000,-60.09980645,-0.31729355,-0.02640845,
-60.41940000,-60.11496129,-0.30443871,-0.17811078,
-60.25080000,-60.12778065,-0.12301935,-0.26181874,
-59.93300000,-60.13936452,0.20636452,-0.21160084,
-59.85810000,-60.14175806,0.28365806,-0.04200950,
-59.78480000,-60.13348710,0.34868710,0.15068484,
-60.15170000,-60.11414194,-0.03755806,0.24757624,
-60.43580000,-60.09356452,-0.34223548,0.16287279,
-60.64540000,-60.07576452,-0.56963548,-0.07420536,
-60.37260000,-60.05693871,-0.31566129,-0.31065969,
-59.62900000,-60.04695161,0.41795161,-0.33436532,
-59.53090000,-60.02633871,0.49543871,-0.08654699,
-59.63980000,-60.00895161,0.36915161,0.22090012,
-60.03140000,-59.99333226,-0.03806774,0.35037833,
-60.11750000,-59.97632258,-0.14117742,0.25512986,
-60.17380000,-59.95275161,-0.22104839,0.05610798,
-60.15520000,-59.92911935,-0.22608065,-0.11791137,
-60.13810000,-59.91031613,-0.22778387,-0.21860360,
-60.06990000,-59.89869677,-0.17120323,-0.24758653,
-60.00240000,-59.90202581,-0.10037419,-0.22192248,
-60.01310000,-59.91042903,-0.10267097,-0.16914331,
-60.02250000,-59.92189355,-0.10060645,-0.12341781,
-60.03760000,-59.92089677,-0.11670323,-0.10126863,
-60.03570000,-59.90988387,-0.12581613,-0.10031688,
-59.94410000,-59.88746774,-0.05663226,-0.10259106,
-59.59220000,-59.84962581,0.25742581,-0.05680603,-0.05680603
-59.26930000,-59.82694839,0.55764839,0.09224601,0.09224601
-59.38830000,-59.80871613,0.42041613,0.29305612,0.29305612
-59.46150000,-59.79615484,0.33465484,0.41634955,0.41634955
-59.46240000,-59.77353226,0.31113226,0.42601255,0.42601255
-59.55190000,-59.74977419,0.19787419,0.36945285,0.36945285
-59.68450000,-59.73740000,0.05290000,0.27399077,0.27399077
-59.83650000,-59.72733548,-0.10916452,0.14653599,0.14653599
-59.89060000,-59.72042903,-0.17017097,0.00692908,0.00692908
-60.03620000,-59.71569677,-0.32050323,-0.12300844,-0.12300844
-60.11860000,-59.71295161,-0.40564839,-0.24202870,-0.24202870
-60.14020000,-59.70981290,-0.43038710,-0.34347680,-0.34347680
-60.12080000,-59.70487419,-0.41592581,-0.40848295,-0.40848295
-60.09440000,-59.69720645,-0.39719355,-0.43146924,-0.43146924
-59.95050000,-59.68444516,-0.26605484,-0.41156073,-0.41156073
-59.19950000,-59.65982581,0.46032581,-0.27769655,-0.27769655
-58.92600000,-59.63696129,0.71096129,0.03249648,0.03249648
-58.96570000,-59.62573871,0.66003871,0.39059313,0.39059313
-59.25040000,-59.61848387,0.36808387,0.59272622,0.59272622
-59.33010000,-59.61982258,0.28972258,0.58131794,0.58131794
-59.38100000,-59.62748710,0.24648710,0.45508750,0.45508750
-59.79020000,-59.63615161,-0.15404839,0.28658522,0.28658522
-59.84320000,-59.64041935,-0.20278065,0.08118065,0.08118065
-59.92400000,-59.64055806,-0.28344194,-0.10935470,-0.10935470
-59.92320000,-59.63603226,-0.28716774,-0.23579650,-0.23579650
-59.91730000,-59.62453871,-0.29276129,-0.29761441,-0.29761441
-59.91580000,-59.60796774,-0.30783226,-0.31576608,-0.31576608
-59.86940000,-59.58949677,-0.27990323,-0.31330749,-0.31330749
-59.79990000,-59.57198065,-0.22791935,-0.29544361,-0.29544361
-59.64010000,-59.55558710,-0.08451290,-0.25068099,-0.25068099
-59.18090000,-59.54403548,0.36313548,-0.13168084,-0.13168084
-58.88340000,-59.54567419,0.66227419,0.10387615,0.10387615
-58.92140000,-59.54787742,0.62647742,0.38305306,0.38305306
-59.16340000,-59.54830645,0.38490645,0.55317324,0.55317324
-59.50300000,-59.54283871,0.03983871,0.52187452,0.52187452
-59.70000000,-59.54042581,-0.15957419,0.31883243,0.31883243
-59.82050000,-59.54556452,-0.27493548,0.05726137,0.05726137
-59.81680000,-59.53983548,-0.27696452,-0.15591603,-0.15591603
-59.84080000,-59.53967742,-0.30112258,-0.27713650,-0.27713650
-59.75030000,-59.53719032,-0.21310968,-0.31308365,-0.31308365
-59.67990000,-59.53757742,-0.14232258,-0.28276579,-0.28276579
-59.60490000,-59.53777742,-0.06712258,-0.21193371,-0.21193371
-59.56760000,-59.54139355,-0.02620645,-0.13080107,-0.13080107
