red_mean,luma_mean
-205.5195,-59.1899
14.5837,-60.1405
-207.1188,-60.6464
12.1370,-61.4395
-207.6750,-61.6157
12.1859,-61.6014
-207.6283,-61.5772
12.4097,-61.4846
-207.6652,-61.4926
12.5135,-61.4566
-207.6804,-61.4659
12.6788,-61.4034
-207.7108,-61.4127
12.7243,-61.3938
-207.6970,-61.3819
12.7995,-61.3455
-207.5362,-61.3101
13.9937,-60.9474
-203.2788,-59.5083
14.9384,-59.2064
-203.4126,-59.2539
12.9452,-59.9204
-205.6737,-60.6680
10.7249,-61.3740
-206.8930,-61.7873
10.4143,-61.9073
-206.7994,-61.8737
10.6202,-61.8026
-206.0823,-61.5451
10.5098,-61.5856
-206.0033,-61.5567
10.4735,-61.5711
-205.9095,-61.5332
10.6229,-61.4744
-205.8548,-61.4461
10.6576,-61.4329
-205.7435,-61.3926
10.7193,-61.3691
-205.4225,-61.2644
13.9196,-60.2084
-201.6617,-58.9948
13.9196,-58.9948
-203.1933,-59.5038
11.6044,-60.2532
-205.3685,-60.9943
9.9357,-61.5274
-206.0617,-61.7751
10.0136,-61.7365
-205.9716,-61.7113
11.0420,-61.3359
-205.7037,-61.2477
11.2175,-61.1819
-205.7253,-61.1919
11.3289,-61.1570
-206.0419,-61.2612
11.3221,-61.2667
-206.2951,-61.3457
11.4482,-61.2872
-206.3380,-61.2968
11.8569,-61.1569
-204.5277,-60.5569
16.5199,-59.0687
-203.3960,-58.7022
15.3357,-59.0965
-205.1586,-59.6826
13.3433,-60.3357
-206.6499,-60.8143
11.0799,-61.5744
-206.8330,-61.6265
11.2322,-61.5781
-206.6427,-61.5104
12.1009,-61.2090
-206.3552,-61.1207
12.2735,-61.0513
-206.3855,-61.0692
12.4155,-61.0251
-206.3328,-61.0048
13.0213,-60.7928
-206.3218,-60.7903
13.1302,-60.7516
-205.9636,-60.6234
15.1572,-59.9657
-201.5568,-58.5364
16.6750,-58.0556
-203.5611,-58.7388
14.4907,-59.4578
-206.2828,-60.3576
12.4990,-61.0082
-207.7663,-61.5074
12.4968,-61.5057
-207.5731,-61.4324
13.3746,-61.1382
-207.3083,-61.0510
13.4141,-61.0341
-207.7745,-61.1751
13.1657,-61.2651
-208.1433,-61.3895
13.0970,-61.4042
-208.2186,-61.4232
13.0887,-61.4261
-208.2344,-61.4206
13.1715,-61.3841
-204.1304,-60.0547
17.5586,-58.6419
-204.0432,-58.6173
15.0152,-59.4826
-206.4173,-60.2525
12.8615,-60.9645
-207.8646,-61.4402
11.7453,-61.8120
-207.9199,-61.8243
11.7290,-61.8259
-207.5957,-61.7052
11.7118,-61.7079
-207.6451,-61.7336
11.4179,-61.8363
-207.6870,-61.8390
11.3654,-61.8517
-207.6942,-61.8516
11.5422,-61.7869
-207.5267,-61.7174
11.7239,-61.6601
-206.6097,-61.3479
15.9294,-60.0153
-202.1395,-58.5282
14.9206,-58.8632
-203.9288,-59.4581
12.9884,-60.1027
-205.6435,-60.6946
11.4256,-61.2060
-207.1131,-61.6857
11.3293,-61.7218
-206.9980,-61.6811
11.6739,-61.5622
-206.5703,-61.4150
11.6630,-61.4190
-206.6086,-61.4318
11.7499,-61.3973
-206.5073,-61.3589
11.6897,-61.3745
-206.5569,-61.3921
11.6487,-61.4039
