luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-59.57040000,-60.05243871,0.48203871,0.05227586,
-59.50310000,-60.05243871,0.54933871,0.20998618,
-59.20500000,-60.05243871,0.84743871,0.43128093,
-58.25250000,-60.05243871,1.79993871,0.75160995,
-58.06320000,-60.05243871,1.98923871,1.22323881,
-58.36470000,-60.05243871,1.68773871,1.64900077,
-59.03530000,-60.05243871,1.01713871,1.75821462,
-59.34400000,-60.05243871,0.70843871,1.50996272,
-59.51400000,-60.05243871,0.53843871,1.10009014,
-59.63910000,-60.05243871,0.41333871,0.73382567,
-59.72300000,-60.05243871,0.32943871,0.48533938,
-62.39600000,-60.05243871,-2.34356129,0.05963576,
-62.01280000,-60.05243871,-1.96036129,-0.78382897,
-61.44510000,-60.05243871,-1.39266129,-1.53655655,
-61.15970000,-60.05243871,-1.10726129,-1.73889471,
-60.75440000,-60.05243871,-0.70196129,-1.51483514,
-60.70530000,-60.08216129,-0.62313871,-1.12792837,
-60.52500000,-60.11297742,-0.41202258,-0.77425752,
-60.51070000,-60.15152258,-0.35917742,-0.52427481,
-60.42230000,-60.22072258,-0.20157742,-0.36353714,
-60.40120000,-60.29567742,-0.10552258,-0.24995596,
-59.99440000,-60.36076774,0.36636774,-0.11121324,
-59.16670000,-60.40282258,1.23612258,0.18226125,
-59.22640000,-60.43421290,1.20781290,0.63331099,
-59.63480000,-60.46140000,0.82660000,0.98455629,
-60.35010000,-60.47174194,0.12164194,0.99018564,
-60.51560000,-60.46699355,-0.04860645,0.67315924,
-60.55250000,-60.37655161,-0.17594839,0.26610342,
-60.56570000,-60.31428710,-0.25141290,-0.04664710,
-60.53940000,-60.27751290,-0.26188710,-0.22570867,
-60.53320000,-60.25327097,-0.27992903,-0.29792216,
-60.49180000,-60.24261613,-0.24918387,-0.30728885,
-60.45840000,-60.23241613,-0.22598387,-0.28581536,
-60.39990000,-60.22762903,-0.17227097,-0.24987248,
-60.39770000,-60.22258065,-0.17511935,-0.21116326,
-60.38680000,-60.22004194,-0.16675806,-0.18227122,
-60.38250000,-60.21741613,-0.16508387,-0.16727980,
-60.33900000,-60.22793871,-0.11106129,-0.15598694,
-60.31710000,-60.26476452,-0.05233548,-0.13247584,
-60.35680000,-60.29980323,-0.05699677,-0.09727257,
-59.95970000,-60.32101290,0.36131290,-0.02298088,
-59.57580000,-60.31930000,0.74350000,0.16291363,
-59.59230000,-60.31094839,0.71864839,0.42844816,
-60.08260000,-60.28041935,0.19781935,0.58314384,
-60.30510000,-60.24827419,-0.05682581,0.49298068,
-60.40820000,-60.22183226,-0.18636774,0.24000120,
-60.42410000,-60.21322581,-0.21087419,-0.01225435,
-60.38910000,-60.21535806,-0.17374194,-0.17019575,
-60.37660000,-60.21966129,-0.15693871,-0.22306799,
-60.35420000,-60.22680645,-0.12739355,-0.20944642,
