luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-60.18230000,-59.60834194,-0.57395806,-0.06224428,
-58.75700000,-59.60834194,0.85134194,-0.08676779,
-58.41760000,-59.60834194,1.19074194,0.19478323,
-58.65120000,-59.60834194,0.95714194,0.65225890,
-58.75550000,-59.60834194,0.85284194,0.94083885,
-59.46340000,-59.60834194,0.14494194,0.92697361,
-59.77620000,-59.60834194,-0.16785806,0.62627094,
-59.84810000,-59.60834194,-0.23975806,0.21437421,
-59.90050000,-59.60834194,-0.29215806,-0.10863375,
-59.83980000,-59.60834194,-0.23145806,-0.27645429,
-59.74270000,-59.60834194,-0.13435806,-0.30519023,
-59.67650000,-59.60834194,-0.06815806,-0.24337462,
-59.71640000,-59.60834194,-0.10805806,-0.15964536,
-59.70610000,-59.60834194,-0.09775806,-0.10577840,
-59.84380000,-59.60834194,-0.23545806,-0.10159361,
-59.81920000,-59.60834194,-0.21085806,-0.14075989,
-60.23400000,-59.59963548,-0.63436452,-0.23194684,
-60.25670000,-59.63884839,-0.61785161,-0.38715718,
-60.34800000,-59.69955161,-0.64844839,-0.54061877,
-60.31760000,-59.75291935,-0.56468065,-0.62272744,
-59.35320000,-59.80630323,0.45310323,-0.52179643,
-58.29680000,-59.83608710,1.53928710,-0.06008150,
-58.30510000,-59.86111613,1.55601613,0.66134980,
-58.47570000,-59.88240645,1.40670645,1.25584911,
-59.33880000,-59.86258065,0.52378065,1.42665588,
-59.93100000,-59.81054516,-0.12045484,1.11401443,
-60.23440000,-59.77179677,-0.46260323,0.51402450,
-60.40900000,-59.74685806,-0.66214194,-0.08079404,
-60.32240000,-59.73981290,-0.58258710,-0.48773431,
-60.10200000,-59.73660000,-0.36540000,-0.64053761,
-59.83760000,-59.74272258,-0.09487742,-0.56293269,
-59.91240000,-59.75267419,-0.15972581,-0.37212541,
-59.97260000,-59.74803226,-0.22456774,-0.22063536,
-60.29940000,-59.74034194,-0.55905806,-0.20446131,
-60.30560000,-59.72922581,-0.57637419,-0.31885391,
-60.41040000,-59.71900968,-0.69139032,-0.47674189,
-60.38670000,-59.74294839,-0.64375161,-0.60132738,
-60.55210000,-59.80654516,-0.74555484,-0.67469078,
-60.50810000,-59.87315806,-0.63494194,-0.70521535,
-59.28590000,-59.93448710,0.64858710,-0.55702669,
-58.22670000,-59.96700323,1.74030323,-0.00874978,
-58.54150000,-59.97950968,1.43800968,0.76934195,
-58.90340000,-59.97761290,1.07421290,1.29476680,
-59.49800000,-59.94618387,0.44818387,1.33409323,
-59.60650000,-59.88203548,0.27553548,1.01119568,
-60.03360000,-59.82476452,-0.20883548,0.55782768,
-60.12770000,-59.78883548,-0.33886452,0.12265970,
-60.09010000,-59.77570968,-0.31439032,-0.19615282,
-60.01830000,-59.76879355,-0.24950645,-0.34223066,
-60.00340000,-59.75878065,-0.24461935,-0.35395337,
