red_mean,luma_mean
-216.4635,-58.1473
22.0285,-60.2701
-216.6615,-60.3502
22.1591,-60.3123
-216.4262,-60.2133
23.1403,-59.8633
-216.2702,-59.8154
23.1205,-59.8157
-216.2231,-59.7903
22.7060,-59.9282
-216.5803,-60.0499
21.9935,-60.3093
-216.6798,-60.3269
21.9108,-60.3022
-216.6587,-60.2905
22.5640,-60.1107
-209.7564,-57.8757
24.6146,-57.2236
-210.0297,-57.3029
22.5161,-58.0293
-211.7509,-58.5392
20.5481,-59.1620
-212.2671,-59.3278
19.2821,-59.7521
-212.2672,-59.7216
19.3711,-59.7163
-211.7652,-59.5419
19.3772,-59.5348
-211.5058,-59.4435
18.9625,-59.5849
-211.5344,-59.5726
17.7136,-59.9626
-212.4418,-60.2657
17.6766,-60.2749
-212.5766,-60.3200
17.7801,-60.2395
-209.0111,-59.1274
23.5322,-57.3157
-208.8520,-57.2642
22.2220,-57.6848
-211.0594,-58.4428
20.5740,-58.9763
-211.6662,-59.1316
19.3201,-59.5233
-212.0087,-59.6490
19.4184,-59.6052
-211.9447,-59.5875
19.7185,-59.4721
-211.9365,-59.4797
19.6576,-59.5043
-211.9880,-59.5198
18.7859,-59.7770
-212.2866,-59.8794
18.0877,-60.1184
-212.3823,-60.1386
18.1769,-60.0846
-210.7584,-59.5494
24.6118,-57.5479
-208.7344,-56.9044
23.0015,-57.4261
-210.6557,-58.0349
20.7518,-58.8097
-211.9207,-59.1846
19.5257,-59.5736
-212.1054,-59.6470
19.6328,-59.6157
-211.8271,-59.5142
20.3844,-59.2467
-211.7304,-59.2047
20.3590,-59.2126
-212.2480,-59.3833
19.7466,-59.5578
-213.1106,-59.8501
19.6631,-59.8442
-213.5280,-59.9940
19.6778,-59.9696
-209.0955,-58.5622
24.4896,-57.0623
-209.0466,-57.0550
22.1468,-57.8214
-210.9856,-58.4333
20.3433,-59.0213
-211.7726,-59.2670
19.0820,-59.6634
-211.7544,-59.6649
19.6836,-59.4357
-210.6022,-59.0596
19.7303,-59.0397
-210.6684,-59.0562
19.6098,-59.0984
-210.8863,-59.1656
18.3067,-59.5837
-211.0334,-59.6281
17.9728,-59.7307
-210.8444,-59.6664
23.3745,-57.9895
-208.0825,-57.1085
22.6315,-57.3649
-209.7162,-57.8758
20.4535,-58.5670
-211.0968,-59.0302
19.5205,-59.3081
-211.3388,-59.4002
