red_mean,luma_mean
-208.0190,-59.9977
16.3020,-60.1851
-209.0525,-60.5609
13.6060,-61.4418
-212.6228,-62.6570
12.6324,-62.9245
-212.8510,-63.0009
12.9362,-62.8830
-212.7963,-62.8614
13.2791,-62.7530
-212.8137,-62.7489
13.4765,-62.6760
-212.7905,-62.6672
13.6099,-62.6199
-212.9254,-62.6673
13.5886,-62.6709
-212.9275,-62.6713
13.7661,-62.6169
-212.9268,-62.6244
14.1064,-62.5059
-212.8938,-62.4987
15.5896,-62.0153
-209.3727,-60.8291
16.7558,-60.4611
-209.2002,-60.4134
15.8003,-60.7352
-210.1055,-61.0294
12.8154,-62.0031
-211.9752,-62.6100
12.4541,-62.7309
-211.9605,-62.7245
12.5137,-62.7040
-211.7772,-62.6357
12.3470,-62.6905
-211.6228,-62.6410
12.3184,-62.6488
-211.4974,-62.6078
12.2155,-62.6405
-211.4776,-62.6322
12.2359,-62.6275
-211.0946,-62.5016
12.6603,-62.3773
-211.0387,-62.3736
14.4163,-61.7957
-207.5626,-60.6568
15.9961,-60.1268
-207.1192,-59.9838
14.4734,-60.4944
-208.8536,-61.0527
11.2572,-62.1059
-210.7992,-62.7354
11.1826,-62.7674
-210.7296,-62.7487
11.2148,-62.7368
-210.2994,-62.5970
11.5714,-62.4776
-210.0227,-62.3748
12.6245,-62.0285
-209.6058,-61.8881
11.9173,-62.1295
-209.7185,-62.1595
10.4931,-62.6269
-209.6192,-62.5975
10.4846,-62.6023
-209.1089,-62.4280
14.0201,-61.2924
-204.5148,-59.7831
14.4558,-59.6430
-204.3124,-59.5707
13.0468,-60.0435
-207.0962,-60.9998
9.2784,-62.2566
-208.6456,-62.7130
9.0358,-62.7792
-208.6721,-62.7850
8.9871,-62.8066
-208.6666,-62.8000
8.9988,-62.7918
-208.3504,-62.6781
9.0217,-62.6724
-208.1846,-62.6056
9.1016,-62.5872
-207.8942,-62.4858
9.1390,-62.4744
-207.7258,-62.4124
11.0601,-61.7851
-204.1480,-60.6469
14.2638,-59.5782
-203.8882,-59.4990
13.9973,-59.5931
-207.0585,-60.6839
10.9230,-61.6542
-210.7783,-62.8766
10.5230,-63.0028
-210.6340,-62.9578
10.7690,-62.8696
-210.3664,-62.7875
10.8562,-62.7603
-209.5346,-62.4670
10.8485,-62.4698
-209.4046,-62.4202
10.8498,-62.4184
-209.3437,-62.3978
10.8103,-62.4138
-209.0328,-62.2879
10.9270,-62.2563
-208.7902,-62.1752
15.0540,-60.8259
-204.4866,-59.4382
16.8081,-58.8816
-205.6914,-59.2804
16.1320,-59.5049
-208.2820,-60.3621
13.9727,-61.0435
-212.5408,-62.4641
12.9144,-62.8268
-212.8664,-62.9297
12.8510,-62.9509
-212.8795,-62.9402
13.1254,-62.8470
-212.8835,-62.8449
13.5692,-62.6886
-212.6336,-62.5983
14.9179,-62.1257
-213.1350,-62.2889
14.9858,-62.2706
-212.5835,-62.1105
19.7337,-60.5409
-208.2513,-59.1590
20.1444,-59.0328
-209.3289,-59.3887
17.7703,-60.1965
-213.9455,-61.6979
13.9721,-62.9266
-214.5877,-63.1510
14.3539,-63.0383
-214.2869,-62.9370
15.5318,-62.5194
-214.3564,-62.5345
15.5197,-62.5251
-214.4510,-62.5554
15.6070,-62.5189
-214.6040,-62.5780
15.7219,-62.5280
-214.5439,-62.5112
16.0266,-62.3978
-213.6902,-62.1079
20.8946,-60.5264
-209.3448,-59.1272
21.1972,-59.0384
-210.0592,-59.2671
18.6949,-60.1623
-214.1247,-61.4393
15.0872,-62.6355
-215.3350,-63.0355
14.8781,-63.0887
-215.2311,-63.0573
15.7631,-62.7292
-215.3161,-62.7652
16.0162,-62.6713
-214.9099,-62.5383
16.4767,-62.3868
-215.0296,-62.4232
16.4889,-62.4165
