luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-82.52680000,-81.07090000,-1.45590000,-0.15788863,
-81.87080000,-81.07090000,-0.79990000,-0.54103541,
-81.85600000,-81.07090000,-0.78510000,-0.84204651,
-81.76330000,-81.07090000,-0.69240000,-0.90252827,
-81.70630000,-81.07090000,-0.63540000,-0.83406183,
-81.50270000,-81.07090000,-0.43180000,-0.71068877,
-81.42500000,-81.07090000,-0.35410000,-0.56498674,
-81.12940000,-81.07090000,-0.05850000,-0.40455341,
-81.15690000,-81.07090000,-0.08600000,-0.23957390,
-81.11350000,-81.07090000,-0.04260000,-0.11394760,
-81.12490000,-81.07090000,-0.05400000,-0.04986330,
-81.08660000,-81.07090000,-0.01570000,-0.02633383,
-81.01980000,-81.07090000,0.05110000,-0.01131115,
-80.86780000,-81.07090000,0.20310000,0.02967485,
-80.86120000,-81.07090000,0.20970000,0.10188577,
-80.68870000,-81.07090000,0.38220000,0.18910786,
-80.72300000,-80.98219032,0.25919032,0.26795332,
-80.75890000,-80.91055484,0.15165484,0.29035586,
-80.76190000,-80.82608065,0.06418065,0.23933292,
-80.73990000,-80.74158710,0.00168710,0.15019152,
-80.85210000,-80.64654516,-0.20555484,0.04234588,
-80.88850000,-80.55677097,-0.33172903,-0.08994583,
-80.89680000,-80.50140968,-0.39539032,-0.22920025,
-80.90430000,-80.45534516,-0.44895484,-0.34351337,
-80.93170000,-80.43138387,-0.50031613,-0.42457215,
-80.94670000,-80.41430645,-0.53239355,-0.48055200,
-80.89410000,-80.39760000,-0.49650000,-0.51308217,
-80.79180000,-80.38240645,-0.40939355,-0.51045393,
-80.53190000,-80.36898065,-0.16291935,-0.44851441,
-80.50660000,-80.36185161,-0.14474839,-0.33011817,
-80.37000000,-80.35603871,-0.01396129,-0.20066535,
-79.77680000,-80.35600000,0.57920000,-0.02926410,
-79.65010000,-80.35512258,0.70502258,0.23731585,
-79.23730000,-80.35321613,1.11591613,0.55403991,
-79.14400000,-80.35097742,1.20697742,0.86161138,
-78.76000000,-80.34953871,1.58953871,1.13871336,
-78.71970000,-80.34428387,1.62458387,1.38278499,
-79.70880000,-80.34124516,0.63244516,1.45220043,
-79.70140000,-80.33915161,0.63775161,1.22636175,
-80.41410000,-80.33689355,-0.07720645,0.82266840,
-80.58410000,-80.33334839,-0.25075161,0.36545374,
-80.60700000,-80.32952581,-0.27747419,-0.02814867,
-80.61560000,-80.32711935,-0.28848065,-0.25703327,
-80.60360000,-80.32810968,-0.27549032,-0.33926936,
-80.64680000,-80.33732258,-0.30947742,-0.34227764,
-80.68100000,-80.35107742,-0.32992258,-0.32751641,
-80.68750000,-80.37223226,-0.31526774,-0.32016204,
-80.69580000,-80.41365484,-0.28214516,-0.31374851,
-80.69980000,-80.45965806,-0.24014194,-0.29708122,
-80.69250000,-80.51849032,-0.17400968,-0.26458028,
-80.69530000,-80.57964839,-0.11565161,-0.21602501,
-80.68920000,-80.65284194,-0.03635806,-0.15511004,
-80.79430000,-80.72708710,-0.06721290,-0.09659373,
-80.83190000,-80.77081290,-0.06108710,-0.06163606,
-80.83430000,-80.81507097,-0.01922903,-0.04664891,
-80.82180000,-80.83663871,0.01483871,-0.03093738,
-80.82820000,-80.85267419,0.02447419,-0.00884256,
-80.81950000,-80.86760968,0.04810968,0.01400099,
-80.82250000,-80.88150000,0.05900000,0.03452053,
-80.81750000,-80.89564194,0.07814194,0.05241716,
-80.93300000,-80.90703871,-0.02596129,0.05577761,
-81.02580000,-80.91844194,-0.10735806,0.02382787,
-81.06090000,-80.92983226,-0.13106774,-0.03676152,
-81.07620000,-80.94107097,-0.13512903,-0.09438674,
-81.06110000,-80.95187742,-0.10922258,-0.12673533,
-81.03990000,-80.96465161,-0.07524839,-0.12832591,
-81.02900000,-80.97825484,-0.05074516,-0.10682330,
-81.02130000,-80.99226774,-0.02903226,-0.07611117,
-81.06430000,-81.00385161,-0.06044839,-0.05189720,
-81.07340000,-81.01833548,-0.05506452,-0.04408374,
-81.08270000,-81.03484516,-0.04785484,-0.04621863,
-81.08120000,-81.05200645,-0.02919355,-0.04635058,
-81.07000000,-81.06965806,-0.00034194,-0.03784397,
-81.04620000,-81.08782258,0.04162258,-0.01750784,
-81.04200000,-81.10573548,0.06373548,0.01231524,
-81.00010000,-81.12365484,0.12355484,0.04798676,
-81.03450000,-81.13752258,0.10302258,0.08314949,
-81.04060000,-81.14548387,0.10488387,0.10513649,
-81.04420000,-81.15205161,0.10785161,0.11198618,
