red_mean,luma_mean
-211.6398,-62.8918
12.6100,-62.8551
-211.3913,-62.7634
12.6476,-62.7413
-211.0553,-62.6416
12.9503,-62.5364
-209.8399,-62.1274
12.9888,-62.1117
-209.7926,-62.1069
12.4834,-62.2765
-209.9012,-62.3114
11.1326,-62.7572
-210.0142,-62.8007
10.8803,-62.8715
-210.0011,-62.8527
10.6257,-62.9434
-209.9775,-62.9348
10.0711,-63.1276
-209.9304,-63.1091
10.0084,-63.1290
-209.8897,-63.1081
10.0009,-63.1147
-209.5327,-62.9884
10.0140,-62.9878
-208.9852,-62.8041
9.9719,-62.8239
-208.5328,-62.6574
10.4125,-62.5191
-207.3459,-62.1323
10.3814,-62.1444
-207.2454,-62.1106
9.8917,-62.2772
-207.5305,-62.3784
9.4390,-62.5313
-207.9079,-62.6525
9.3971,-62.6731
-207.8731,-62.6537
9.1079,-62.7457
-208.1852,-62.8625
9.0747,-62.8692
-208.2392,-62.8816
9.0504,-62.8859
-208.2083,-62.8795
9.1177,-62.8578
-208.1202,-62.8276
9.1552,-62.8132
-208.1065,-62.8114
9.1944,-62.7956
-207.7877,-62.6966
9.6134,-62.5458
-207.4110,-62.4202
9.9006,-62.3219
-207.2973,-62.3094
9.4950,-62.4348
-207.8495,-62.6139
8.9478,-62.8151
-207.8620,-62.8139
8.6760,-62.9105
-207.8014,-62.8798
8.6390,-62.8964
-207.8032,-62.8989
8.3158,-62.9922
-208.0036,-63.0793
8.2506,-63.0912
-207.9020,-63.0629
7.7970,-63.2211
-208.1857,-63.3264
7.5341,-63.4156
-208.3383,-63.4569
7.5401,-63.4577
-207.8452,-63.2859
9.2565,-62.7218
-206.8716,-62.3987
9.1195,-62.4387
-206.9511,-62.4632
7.8363,-62.9070
-207.2463,-62.9979
6.9884,-63.2984
-207.3453,-63.3346
6.6110,-63.4585
-207.3460,-63.4479
6.6331,-63.4457
-207.0946,-63.3576
7.2726,-63.1396
-206.8085,-63.0457
7.5638,-62.9436
-206.8785,-62.9804
7.5283,-62.9921
-206.8384,-62.9727
7.1339,-63.1050
-206.9676,-63.1538
7.0883,-63.1644
-206.6685,-63.0410
7.2429,-62.9907
-206.1020,-62.7815
7.6897,-62.6515
-205.2569,-62.3536
7.7274,-62.3569
-205.4262,-62.4013
7.5056,-62.4827
-205.5108,-62.5164
7.5297,-62.5048
-205.8869,-62.6213
6.9288,-62.8400
-206.1989,-62.9431
6.7558,-62.9930
-206.4983,-63.0889
6.7103,-63.1102
-206.5075,-63.1105
6.7717,-63.0893
-206.4545,-63.0579
6.7812,-63.0777
-206.2191,-62.9796
7.2759,-62.8069
-205.3176,-62.4951
7.3407,-62.4827
-205.0928,-62.4226
7.0213,-62.5203
-205.4108,-62.6208
6.2775,-62.8785
-206.1806,-63.1635
6.2329,-63.1670
-206.2415,-63.1947
6.1916,-63.2059
-206.0833,-63.1364
6.0992,-63.1767
-205.7404,-63.0549
6.1049,-63.0655
-205.6357,-63.0201
5.8974,-63.0879
-205.8046,-63.1475
5.5586,-63.2662
-205.8419,-63.2703
5.4718,-63.3094
-205.7831,-63.2906
5.6709,-63.2011
-204.8711,-62.8847
6.1412,-62.7207
-204.7242,-62.6733
6.2070,-62.6575
-204.7786,-62.6739
6.2187,-62.6725
-204.9371,-62.7214
5.8367,-62.8523
-204.9662,-62.8605
5.8723,-62.8504
-204.8013,-62.7931
5.8634,-62.7956
-204.8605,-62.8250
5.8590,-62.8216
-204.9102,-62.8391
5.4771,-62.9808
-205.0862,-63.0352
5.3690,-63.0759
-204.9964,-63.0293
5.4648,-62.9945
-204.7988,-62.9250
5.6562,-62.8733
-203.6921,-62.5213
5.9833,-62.4092
-203.6510,-62.4068
5.7291,-62.4786
-204.1073,-62.6212
5.5838,-62.6716
-204.6376,-62.8468
4.9443,-63.0703
-204.7575,-63.1074
4.9942,-63.0823
-205.0451,-63.1849
4.9765,-63.1946
-205.0445,-63.1886
4.9395,-63.2003
-205.2084,-63.2425
4.9418,-63.2599
-204.7594,-63.0881
5.0148,-63.0571
-204.4840,-62.9544
4.7596,-63.0531
-204.1724,-62.9347
5.2355,-62.7703
-203.8438,-62.6719
5.8482,-62.4470
-203.8898,-62.4581
5.6451,-62.5239
-204.0275,-62.5660
5.7066,-62.5541
-204.3280,-62.6634
5.5911,-62.7072
-204.3871,-62.7268
5.6200,-62.7162
-204.4059,-62.7276
5.6832,-62.7047
-204.3736,-62.6957
6.2423,-62.4972
-204.4586,-62.5200
6.2257,-62.5274
-204.4396,-62.5227
6.4600,-62.4437
-204.4769,-62.4586
6.7526,-62.3463
-204.5113,-62.3668
7.1688,-62.2261
-204.4647,-62.2107
7.2403,-62.1779
-204.1456,-62.0720
7.2276,-62.0662
-204.5226,-62.2070
6.9296,-62.3133
-204.5928,-62.3368
6.3935,-62.5213
-204.7245,-62.5674
6.2391,-62.6193
-204.5923,-62.5575
6.2708,-62.5412
-204.5668,-62.5289
6.2354,-62.5453
-204.3475,-62.4724
6.1703,-62.4912
-204.2359,-62.4492
5.9869,-62.5240
-204.0623,-62.4624
5.9755,-62.4752
-203.7162,-62.3510
5.9760,-62.3448
-203.1138,-62.1447
5.7090,-62.2393
-202.9800,-62.1886
5.9619,-62.1247
-202.8077,-62.0427
5.3140,-62.2651
-202.7945,-62.2581
5.2531,-62.2819
-202.6161,-62.2156
4.9847,-62.3140
-202.6070,-62.3091
4.5891,-62.4379
-202.6316,-62.4319
4.1301,-62.6074
-202.6189,-62.6037
4.1440,-62.5962
-202.4670,-62.5522
4.2114,-62.5248
-202.4888,-62.5302
4.4096,-62.4514
-202.2720,-62.3729
4.5312,-62.3339
-202.2797,-62.3408
4.7443,-62.2668
-202.1336,-62.2165
4.4483,-62.3163
-202.2043,-62.3442
4.3649,-62.3758
-202.1800,-62.3651
4.2292,-62.3993
-202.2236,-62.4150
4.2031,-62.4270
-202.2204,-62.4302
4.0260,-62.4873
-202.2062,-62.4835
4.0541,-62.4718
-202.1909,-62.4643
4.0768,-62.4704
-202.1885,-62.4676
4.2322,-62.4068
-201.8837,-62.3070
4.2181,-62.3248
-201.8599,-62.3139
4.7327,-62.1284
-201.7436,-62.0956
4.6712,-62.1176
-201.6744,-62.0955
4.6730,-62.1340
-201.8389,-62.1709
4.7445,-62.1457
-201.8911,-62.1621
4.8163,-62.1438
-202.0668,-62.1990
4.0795,-62.4511
-202.4543,-62.5825
3.8819,-62.6601
-202.5788,-62.7018
3.9528,-62.6756
-201.9164,-62.4455
3.9767,-62.4355
-200.9732,-62.1242
4.6348,-61.9189
-200.4045,-61.7033
5.2874,-61.4827
-200.6493,-61.5591
4.4242,-61.8691
-200.5324,-61.8194
3.7483,-62.0619
-201.4018,-62.3302
3.3373,-62.4679
-201.5817,-62.5217
3.3849,-62.5110
-201.6841,-62.5381
3.2367,-62.5938
-201.6320,-62.5696
3.2675,-62.5572
-201.7655,-62.6081
3.3234,-62.5783
-201.7716,-62.5809
3.4872,-62.5269
-201.8330,-62.5486
3.5371,-62.5271
-201.8524,-62.5358
3.9310,-62.3851
-201.5135,-62.2705
4.1120,-62.2101
-201.2656,-62.1352
4.0408,-62.1560
-201.3948,-62.2087
3.9520,-62.2378
-201.4335,-62.2585
3.8259,-62.2967
-201.4588,-62.3098
3.7805,-62.3237
-201.4696,-62.3292
3.5005,-62.4142
-201.4626,-62.4069
3.4999,-62.4087
-201.4186,-62.3845
3.4619,-62.4059
-201.3964,-62.3959
3.5014,-62.3848
-201.3822,-62.3819
3.4576,-62.3994
-201.3987,-62.4082
3.6001,-62.3528
-200.9608,-62.2028
3.5428,-62.2233
-200.8415,-62.1806
3.4451,-62.2098
-200.8484,-62.2191
2.7523,-62.4572
-200.9059,-62.4737
2.6380,-62.5121
-200.8305,-62.4856
2.4768,-62.5422
-200.7593,-62.5154
2.4335,-62.5306
-200.5643,-62.4505
2.4036,-62.4634
-200.3280,-62.3845
2.0892,-62.4888
-200.3588,-62.5056
2.0033,-62.5341
-200.3234,-62.5224
1.9395,-62.5424
-200.1668,-62.4872
1.8648,-62.5119
-200.1083,-62.4920
1.8884,-62.4819
-199.7461,-62.3581
2.0181,-62.3238
-199.2794,-62.1625
1.8626,-62.2191
-199.1117,-62.1610
1.7920,-62.1861
-199.5619,-62.3581
1.6278,-62.3999
-199.6346,-62.4245
1.6518,-62.4165
-199.5567,-62.3898
1.6530,-62.3864
-199.2874,-62.2853
2.3356,-62.0641
-199.2938,-62.0623
2.0576,-62.1479
-199.3090,-62.1534
2.0751,-62.1470
-199.3279,-62.1626
1.7351,-62.2686
-199.4577,-62.3207
2.0242,-62.2195
-199.1257,-62.1028
2.2189,-62.0429
-198.5327,-61.8422
2.2552,-61.8339
-198.8343,-61.9328
1.9177,-62.0446
-199.0412,-62.1127
1.5965,-62.2244
-199.0754,-62.2373
1.2553,-62.3514
-199.1769,-62.3920
1.0999,-62.4341
-199.2697,-62.4698
0.7153,-62.5974
-199.2670,-62.5961
0.3823,-62.7189
-199.2262,-62.7026
0.4081,-62.6920
-199.0855,-62.6406
0.3926,-62.6528
-198.8699,-62.5811
0.4290,-62.5734
-197.8549,-62.2155
0.6120,-62.1590
-197.5443,-62.0642
0.5896,-62.0518
-197.6097,-62.0770
-0.0893,-62.3390
-197.9946,-62.4562
-0.3514,-62.5432
-198.0647,-62.5674
-0.3505,-62.5680
-198.1209,-62.5794
-0.3666,-62.5864
-197.9369,-62.5211
-0.4776,-62.5611
-197.7898,-62.4971
-0.4142,-62.4832
-197.6329,-62.4351
-0.4709,-62.4669
-197.6455,-62.4622
-0.4415,-62.4526
-197.3921,-62.3553
-0.2678,-62.2962
-197.2749,-62.2562
0.3593,-62.0479
-196.9522,-61.9485
0.4774,-61.9047
-196.6717,-61.8115
0.0194,-61.9503
-196.7329,-61.9684
-0.6094,-62.1844
-196.7747,-62.2062
-0.6968,-62.2360
-196.5488,-62.1580
-0.7664,-62.1830
-196.4563,-62.1443
-0.9580,-62.1989
-196.4178,-62.1837
-0.9613,-62.1885
-196.1671,-62.1104
-1.0013,-62.1212
-195.9900,-62.0661
-1.0520,-62.0858
-195.8404,-62.0388
-0.9892,-62.0152
-195.5463,-61.9163
-1.0448,-61.9331
-195.2842,-61.8477
-1.3562,-61.9536
-195.2831,-61.9394
-1.5937,-62.0217
-195.2537,-62.0145
-1.8776,-62.1123
-195.2036,-62.0995
-2.2215,-62.2221
-195.1898,-62.2162
-1.9167,-62.1196
-195.3757,-62.1828
-1.8415,-62.1518
-195.8664,-62.3128
-1.8685,-62.3161
-196.0374,-62.3743
-1.8295,-62.3582
-196.2010,-62.4079
-1.5960,-62.3247
-196.2221,-62.3308
-1.4571,-62.2865
-196.0416,-62.2370
-0.8596,-62.0341
-196.0234,-62.0358
-0.7318,-61.9924
-196.3008,-62.0833
-0.6795,-62.0567
-196.5119,-62.1207
-0.6468,-62.1119
-196.9667,-62.2584
-0.6359,-62.2554
-197.1737,-62.3215
-0.5823,-62.3055
-197.2750,-62.3336
-0.5046,-62.3085
-197.4108,-62.3552
-0.4767,-62.3478
-197.5228,-62.3836
-0.4080,-62.3660
-197.4254,-62.3297
-0.4215,-62.3345
-197.2342,-62.2718
-0.4627,-62.2914
-197.0996,-62.2530
-0.4914,-62.2618
-196.7322,-62.1416
-0.5198,-62.1450
-196.4658,-62.0563
-0.6441,-62.0964
-196.3617,-62.0627
-0.8603,-62.1344
-196.1304,-62.0655
-0.9331,-62.0919
-196.1096,-62.0844
-1.0856,-62.1342
-196.1014,-62.1306
-1.8095,-62.3751
-196.2211,-62.4146
-2.2588,-62.5689
-196.2238,-62.5590
-2.3947,-62.6157
-196.1118,-62.5856
-2.8078,-62.7259
-195.8148,-62.6123
-2.7212,-62.5787
-195.6677,-62.5306
-2.7386,-62.5364
-195.1898,-62.3754
-2.7852,-62.3956
-195.3016,-62.4416
-2.6581,-62.3983
-195.8688,-62.5886
-2.6418,-62.5696
-196.2766,-62.7030
-2.6384,-62.6926
-196.4533,-62.7878
-1.8845,-62.5122
-196.6450,-62.5836
-1.3561,-62.4062
-196.7856,-62.4421
-1.2950,-62.4170
-197.1455,-62.5357
-1.2530,-62.5162
-197.1706,-62.5277
-1.0327,-62.4593
-197.1806,-62.4641
-0.8618,-62.4011
-197.2143,-62.4121
-0.7924,-62.3897
-197.3178,-62.4310
-0.7257,-62.4081
-197.9293,-62.6109
-0.7446,-62.6073
-198.6519,-62.8624
-0.7826,-62.8654
-198.6825,-62.8862
-0.6265,-62.8330
-198.4841,-62.7647
-0.7976,-62.8360
-197.9702,-62.6645
-0.8685,-62.6951
-197.7103,-62.6003
-0.9877,-62.6500
-197.6395,-62.6208
-1.2563,-62.7080
-197.6415,-62.7015
-1.6722,-62.8471
-197.5822,-62.8188
-1.8526,-62.8782
-197.4699,-62.8375
-1.9393,-62.8649
-197.0624,-62.7199
-1.5518,-62.5958
-196.4572,-62.3871
-1.5989,-62.4159
-195.9502,-62.2407
-1.8431,-62.3405
-195.6046,-62.2294
-2.0532,-62.2902
-195.5569,-62.2714
-2.8674,-62.5463
-195.8489,-62.6389
-3.6933,-62.9511
-196.6276,-63.1789
-3.8392,-63.2282
-196.5397,-63.1976
-3.8319,-63.1963
-196.2006,-63.0829
-3.5306,-62.9779
-196.1741,-62.9740
-3.2749,-62.8890
-196.2386,-62.9108
-3.1182,-62.8601
-196.2846,-62.8794
-3.0448,-62.8528
-196.3370,-62.8695
-3.0345,-62.8621
-196.6633,-62.9696
-2.9956,-62.9509
-196.9283,-63.0339
-2.9281,-63.0064
-197.0125,-63.0297
-2.8464,-63.0041
-197.0514,-63.0231
-2.6365,-62.9564
-197.1436,-62.9835
-2.4011,-62.9088
-197.3226,-62.9707
-2.3666,-62.9613
-197.6965,-63.0828
-2.3495,-63.0624
-197.8328,-63.1110
-2.1664,-63.0511
-197.7911,-63.0348
-2.0426,-62.9930
-197.1799,-62.8042
-1.3763,-62.5832
-196.7782,-62.4389
-1.2033,-62.3895
-196.2747,-62.2293
-1.6188,-62.3716
-196.1752,-62.3305
-2.3203,-62.5731
-196.2245,-62.5822
-2.8486,-62.7635
-196.5186,-62.8606
-3.4796,-63.0765
-196.5417,-63.0768
-3.8610,-63.2075
-196.4388,-63.1610
-3.8792,-63.1670
-196.1332,-63.0634
-3.8081,-63.0507
-195.6821,-62.8890
-3.7823,-62.9054
-194.9446,-62.6501
-3.8766,-62.6848
-194.6284,-62.5725
-4.2123,-62.6910
-194.6251,-62.6820
-4.5504,-62.8058
-194.5926,-62.7857
-4.7879,-62.8699
-194.5318,-62.8408
-4.7656,-62.8316
-194.3682,-62.7825
-4.7385,-62.7831
-193.7116,-62.5575
-4.7987,-62.5766
-193.7381,-62.5795
-4.6999,-62.5566
-193.8628,-62.6006
-4.4139,-62.5050
-194.0752,-62.5761
-4.3962,-62.5611
-194.3247,-62.6559
-4.3650,-62.6375
-194.5930,-62.7268
-4.2682,-62.6903
-194.7850,-62.7525
-3.9639,-62.6562
-194.8127,-62.6693
-3.7436,-62.6020
-194.8639,-62.6142
-3.6305,-62.5739
-195.0343,-62.6344
-3.6038,-62.6270
-195.2975,-62.7210
-3.5603,-62.7012
-195.4970,-62.7708
-3.4839,-62.7409
-195.8121,-62.8426
-3.4247,-62.8150
-196.0412,-62.9001
-3.3417,-62.8696
-196.1615,-62.9118
-3.3148,-62.9024
-196.4464,-62.9997
-3.3315,-63.0055
-196.3387,-62.9659
-3.3796,-62.9873
-195.9418,-62.8447
-3.3815,-62.8515
-195.5423,-62.7124
-3.3633,-62.7117
-195.3080,-62.6270
-3.5220,-62.6855
-195.2666,-62.6658
-3.7254,-62.7519
-195.2371,-62.7380
-4.1459,-62.8816
-195.2800,-62.8945
-4.3011,-62.9397
-195.2472,-62.9238
