luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-57.36530000,-58.57170000,1.20640000,0.13083099,
-58.24360000,-58.57170000,0.32810000,0.41201777,
-58.47200000,-58.57170000,0.09970000,0.53356116,
-58.91720000,-58.57170000,-0.34550000,0.35965256,
-59.18520000,-58.57170000,-0.61350000,0.01888542,
-59.15780000,-58.57170000,-0.58610000,-0.32940069,
-59.18050000,-58.57170000,-0.60880000,-0.55452545,
-59.07980000,-58.57170000,-0.50810000,-0.63471417,
-59.11890000,-58.57170000,-0.54720000,-0.61989473,
-59.18740000,-58.57170000,-0.61570000,-0.58693911,
-59.48960000,-58.57170000,-0.91790000,-0.61450827,
-59.58790000,-58.57170000,-1.01620000,-0.73257974,
-59.63490000,-58.57170000,-1.06320000,-0.88677530,
-59.61010000,-58.57170000,-1.03840000,-1.00348414,
-59.60970000,-58.57170000,-1.03800000,-1.05757989,
-57.10470000,-58.57170000,1.46700000,-0.79429593,
-53.70280000,-58.64626129,4.94346129,0.37388078,
-54.26130000,-58.68459677,4.42329677,2.28606766,
-55.81970000,-58.69861613,2.87891613,3.69690773,
-57.04960000,-58.67556774,1.62596774,3.81253290,
-57.98460000,-58.58652581,0.60192581,2.92481406,
-58.37970000,-58.42906452,0.04936452,1.69216563,
-59.15790000,-58.31314194,-0.84475806,0.55906579,
-59.48840000,-58.24372258,-1.24467742,-0.34876602,
-59.53450000,-58.21280645,-1.32169355,-0.98477569,
-59.49960000,-58.19512903,-1.30447097,-1.31854468,
-59.53430000,-58.17798065,-1.35631935,-1.42375252,
-59.52760000,-58.15722581,-1.37037419,-1.42312809,
-59.61130000,-58.13614516,-1.47515484,-1.40988873,
-59.57730000,-58.11537742,-1.46192258,-1.42128406,
-59.64950000,-58.09450000,-1.55500000,-1.45398629,
-59.67670000,-58.15348065,-1.52321935,-1.49443683,
-59.43200000,-58.32359677,-1.10840323,-1.47796574,
-58.90660000,-58.47529677,-0.43130323,-1.28408579,
-58.20270000,-58.57825484,0.37555484,-0.83977715,
-56.42490000,-58.64186774,2.21696774,-0.06217694,
-54.27650000,-58.67504839,4.39854839,1.20526362,
-55.58690000,-58.69592903,3.10902903,2.60829648,
-56.92780000,-58.68795161,1.76015161,3.25549985,
-58.16050000,-58.59575484,0.43525484,2.81075307,
-58.63940000,-58.43066774,-0.20873226,1.71578608,
-58.95800000,-58.29387097,-0.66412903,0.56080102,
-58.94450000,-58.19988387,-0.74461613,-0.28917319,
-58.98140000,-58.15442258,-0.82697742,-0.75133623,
-58.96630000,-58.12618387,-0.84011613,-0.92040221,
-58.96250000,-58.11100968,-0.85149032,-0.93797330,
-58.93310000,-58.09466774,-0.83843226,-0.90327393,
-58.97640000,-58.07768710,-0.89871290,-0.87230607,
-58.96400000,-58.06815484,-0.89584516,-0.86727993,
-59.01140000,-58.07309677,-0.93830323,-0.88302327,
-59.02160000,-58.10244516,-0.91915484,-0.90521922,
-59.01320000,-58.18906774,-0.82413226,-0.90994026,
-59.02700000,-58.34526129,-0.68173871,-0.86904890,
-58.91060000,-58.45953871,-0.45106129,-0.76550182,
-56.63030000,-58.53135161,1.90105161,-0.36682710,
-54.41680000,-58.56290323,4.14610323,0.72935685,
-55.25890000,-58.57896129,3.32006129,2.21943359,
-56.62070000,-58.58012258,1.95942258,3.10240281,
-58.11830000,-58.55642903,0.43812903,2.86382384,
-58.73590000,-58.42710323,-0.30879677,1.82134801,
-59.10690000,-58.26757097,-0.83932903,0.59650742,
-59.14290000,-58.15394516,-0.98895484,-0.36603479,
-59.15030000,-58.08640323,-1.06389677,-0.92756060,
-59.13650000,-58.05692581,-1.07957419,-1.15494319,
-59.05980000,-58.05283871,-1.00696129,-1.18340375,
