red_mean,luma_mean
-211.0786,-57.3653
21.3253,-58.2436
-211.8503,-58.4720
19.7874,-58.9172
-212.7153,-59.1852
19.8164,-59.1578
-212.7733,-59.1805
20.0684,-59.0798
-212.8716,-59.1189
19.8174,-59.1874
-213.7782,-59.4896
19.4414,-59.5879
-213.9109,-59.6349
19.4769,-59.6101
-213.9073,-59.6097
27.7011,-57.1047
-203.1820,-53.7028
25.8501,-54.2613
-207.8888,-55.8197
22.0361,-57.0496
-211.0487,-57.9846
20.6746,-58.3797
-213.6019,-59.1579
19.5643,-59.4884
-213.7388,-59.5345
19.6425,-59.4996
-213.8526,-59.5343
19.6516,-59.5276
-214.0891,-59.6113
19.6570,-59.5773
-214.3578,-59.6495
19.6049,-59.6767
-213.7528,-59.4320
21.2831,-58.9066
-211.6858,-58.2027
27.1276,-56.4249
-204.8682,-54.2765
23.1448,-55.5869
-209.2462,-56.9278
19.4051,-58.1605
-211.0176,-58.6394
18.4260,-58.9580
-211.0939,-58.9445
18.3180,-58.9814
-211.0687,-58.9663
18.3295,-58.9625
-211.0092,-58.9331
18.1898,-58.9764
-210.9856,-58.9640
18.0655,-59.0114
-211.0670,-59.0216
18.0821,-59.0132
-211.0939,-59.0270
18.3699,-58.9106
-203.6882,-56.6303
25.4316,-54.4168
-206.3193,-55.2589
21.0135,-56.6207
-210.8960,-58.1183
18.9088,-58.7359
-212.1170,-59.1069
18.8113,-59.1429
-212.1493,-59.1503
18.8419,-59.1365
-211.9607,-59.0598
18.6894,-59.1125
-211.9702,-59.1102
18.6708,-59.1185
-212.0406,-59.1295
18.6010,-59.1540
-212.0245,-59.1386
18.6192,-59.1372
-211.6280,-58.9940
20.9738,-58.2100
-201.0848,-54.9723
24.1276,-54.0208
-205.5172,-55.4401
19.6197,-56.8393
-209.4560,-58.0626
17.0622,-58.8373
-209.4674,-58.8414
17.1607,-58.8059
-209.2736,-58.7336
17.4916,-58.6101
-209.5002,-58.6915
17.1557,-58.8065
-209.7042,-58.8737
17.1349,-58.8326
-209.9602,-58.9269
17.0124,-58.9650
-210.0090,-58.9851
17.0664,-58.9310
-209.8228,-58.8703
17.1721,-58.8516
-209.1961,-58.6382
22.4006,-57.0314
-200.0535,-54.2122
22.5194,-54.1929
-205.5302,-55.9556
17.7819,-57.4142
-208.9384,-58.4465
16.8715,-58.7426
-208.9956,-58.7362
16.9077,-58.7190
-208.6050,-58.5731
16.5990,-58.6737
-208.7043,-58.7025
16.5074,-58.7316
-208.7384,-58.7239
16.1870,-58.8277
-208.8158,-58.8531
