,Test Data,Predicted Price,Difference,C
0,16.8,16.86662321923339,0.06662321923338865,1.0
1,16.2,16.251614227972436,0.05161422797243631,1.0
2,12.0,12.079192585272924,0.07919258527292428,1.0
3,10.9,10.928543737672962,0.02854373767296181,1.0
4,13.1,13.090318006890815,0.009681993109184717,0.0
5,16.7,16.5127303111211,0.1872696888788994,1.0
6,15.9,15.973371372707703,0.07337137270770278,1.0
7,11.0,11.000044997877321,4.4997877321151236e-05,0.0
8,16.4,16.40285888060187,0.0028588806018703394,0.0
9,12.0,12.001705489093093,0.0017054890930925382,0.0
10,16.2,16.364354985689438,0.16435498568943885,1.0
11,15.9,16.607721961649123,0.7077219616491224,1.0
12,16.8,16.81469935766902,0.014699357669019975,1.0
13,17.0,17.01453586865887,0.014535868658871465,1.0
14,14.5,14.532752131802454,0.03275213180245373,1.0
15,14.8,14.903402307169783,0.10340230716978205,1.0
16,16.8,16.785991836978585,0.014008163021415498,1.0
17,17.0,16.99042013653704,0.009579863462960247,0.0
18,16.7,16.720617486736305,0.020617486736306034,1.0
19,15.6,15.61708620311836,0.017086203118360288,1.0
20,15.8,15.832371420571842,0.032371420571841725,1.0
21,16.8,16.78980476301719,0.010195236982809774,1.0
22,12.0,12.013194144880316,0.013194144880316117,1.0
23,11.0,11.007416604755033,0.007416604755032807,0.0
24,11.0,11.007416604755033,0.007416604755032807,0.0
25,16.8,16.787469254836644,0.012530745163356727,1.0
26,16.7,16.66404449041786,0.03595550958213778,1.0
27,15.8,15.788264680920042,0.011735319079958728,1.0
28,14.8,14.89429628733816,0.09429628733815854,1.0
29,14.8,14.852140745777232,0.0521407457772316,1.0
30,13.1,13.094295908968718,0.005704091031281777,0.0
31,16.7,16.536133910744113,0.16386608925588675,1.0
32,16.2,16.169527494523614,0.030472505476385692,1.0
33,12.0,11.977649799658264,0.022350200341735516,1.0
34,11.0,10.968072690942302,0.03192730905769814,1.0
35,16.7,16.592336223447067,0.10766377655293269,1.0
36,12.0,12.009014623291145,0.00901462329114544,0.0
37,12.0,12.015702430831215,0.015702430831215253,1.0
38,17.0,16.976733218498307,0.023266781501693146,1.0
39,12.0,11.96359146861636,0.03640853138364086,1.0
40,16.7,16.65951552463811,0.040484475361889594,1.0
41,16.3,16.312961371122682,0.012961371122681697,1.0
42,16.2,16.21399687201675,0.013996872016750928,1.0
43,16.7,16.61632777050943,0.08367222949057052,1.0
44,13.1,13.070584539960528,0.029415460039471597,1.0
45,15.8,15.805420021926418,0.005420021926417107,0.0
46,12.0,11.961756437695541,0.03824356230445858,1.0
47,16.7,16.6953713778317,0.004628622168297625,0.0
48,16.8,16.809690622718957,0.009690622718956377,0.0
49,15.6,15.528928445641483,0.07107155435851631,1.0
50,13.1,13.076840044428799,0.02315995557120054,1.0
51,15.8,15.740462365746716,0.05953763425328518,1.0
52,13.1,13.068668803637308,0.031331196362691216,1.0
53,16.8,16.719212491193495,0.08078750880650531,1.0
54,11.0,11.010677998764569,0.010677998764569097,1.0
55,16.3,16.31013585127204,0.010135851272039531,1.0
56,16.4,16.385735671941244,0.014264328058754216,1.0
57,16.3,16.429096635984187,0.12909663598418675,1.0
58,16.8,16.739859323861175,0.060140676138825455,1.0
59,16.2,16.148665501541807,0.05133449845819271,1.0
60,16.3,16.2503814044352,0.04961859556480164,1.0
61,12.0,11.988874830303393,0.011125169696606818,1.0
62,14.8,14.820353506193944,0.020353506193943716,1.0
63,15.9,15.834364764591959,0.06563523540804184,1.0
64,16.8,16.79049665058411,0.009503349415890483,0.0
65,12.0,11.985730237624674,0.014269762375326067,1.0
66,16.7,16.66241557851139,0.037584421488610076,1.0
67,16.8,16.715063506432333,0.08493649356766753,1.0
68,16.2,16.246456566446607,0.046456566446607894,1.0
69,13.1,13.083610996621614,0.01638900337838578,1.0
70,16.8,16.79448822542939,0.005511774570610584,0.0
71,16.3,16.31018692272303,0.010186922723029568,1.0
72,12.0,11.974676758784483,0.0253232412155171,1.0
73,16.4,16.427885632456096,0.027885632456097653,1.0
74,16.3,16.315471786054477,0.01547178605447641,1.0
75,12.0,11.99372603871235,0.006273961287650565,0.0
76,12.0,11.965452132671887,0.03454786732811321,1.0
77,17.0,16.8628359021216,0.13716409787840078,1.0
78,14.8,14.786151348125559,0.013848651874441842,1.0
79,16.4,16.257739073485393,0.14226092651460576,1.0
80,15.6,15.591126035755682,0.008873964244317634,0.0
81,12.0,11.979563567280888,0.02043643271911222,1.0
82,15.9,15.873651971869053,0.026348028130946943,1.0
83,12.0,11.972619079291666,0.027380920708333534,1.0
84,12.0,12.022234403756478,0.022234403756478116,1.0
85,16.2,16.329803205959582,0.1298032059595826,1.0
86,13.1,13.111437845452686,0.011437845452686446,1.0
87,14.8,14.913982031740904,0.11398203174090327,1.0
88,17.0,17.034146075689947,0.03414607568994654,1.0
89,17.0,16.979094511463035,0.02090548853696461,1.0
90,16.7,16.661386822315905,0.03861317768409478,1.0
91,16.4,16.299160645688943,0.10083935431105573,1.0
92,15.8,15.816544948916707,0.01654494891670666,1.0
93,16.3,16.235635299889132,0.06436470011086826,1.0
94,16.4,16.280315998706232,0.11968400129376633,1.0
95,14.5,14.50365729688906,0.0036572968890595803,0.0
96,11.0,11.002478046719295,0.0024780467192950795,0.0
97,15.6,15.586156618574224,0.013843381425775902,1.0
98,11.0,11.013152077915485,0.01315207791548545,1.0
99,15.8,15.788612971801557,0.011387028198443616,1.0
100,16.2,16.21768148345271,0.017681483452712143,1.0
101,11.0,10.991817152690246,0.008182847309754493,0.0
