luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-59.18990000,-61.07401290,1.88411290,0.20432722,
-60.14050000,-61.07401290,0.93351290,0.68914179,
-60.64640000,-61.07401290,0.42761290,0.99418066,
-61.43950000,-61.07401290,-0.36548710,0.81214878,
-61.61570000,-61.07401290,-0.54168710,0.31158072,
-61.60140000,-61.07401290,-0.52738710,-0.19360578,
-61.57720000,-61.07401290,-0.50318710,-0.49446657,
-61.48460000,-61.07401290,-0.41058710,-0.58441752,
-61.49260000,-61.07401290,-0.41858710,-0.54790165,
-61.45660000,-61.07401290,-0.38258710,-0.47567599,
-61.46590000,-61.07401290,-0.39188710,-0.41774111,
-61.40340000,-61.07401290,-0.32938710,-0.38071813,
-61.41270000,-61.07401290,-0.33868710,-0.35472140,
-61.39380000,-61.07401290,-0.31978710,-0.33662111,
-61.38190000,-61.07401290,-0.30788710,-0.32444754,
-61.34550000,-61.07401290,-0.27148710,-0.31082011,
-61.31010000,-61.15082581,-0.15927419,-0.28129718,
-60.94740000,-61.19575161,0.24835161,-0.18714467,
-59.50830000,-61.22246129,1.71416129,0.14581360,
-59.20640000,-61.22267419,2.01627419,0.80351696,
-59.25390000,-61.21677742,1.96287742,1.49562997,
-59.92040000,-61.21004194,1.28964194,1.84638615,
-60.66800000,-61.20332903,0.53532903,1.70518993,
-61.37400000,-61.19622581,-0.17777419,1.15826479,
-61.78730000,-61.15480000,-0.63250000,0.43659839,
-61.90730000,-61.07538710,-0.83191290,-0.22395934,
-61.87370000,-60.99567419,-0.87802581,-0.67653172,
-61.80260000,-60.93439677,-0.86820323,-0.89864907,
-61.54510000,-60.89699355,-0.64810645,-0.93173019,
-61.58560000,-60.88410645,-0.70149355,-0.84864597,
-61.55670000,-60.88880000,-0.66790000,-0.74953572,
-61.57110000,-60.90265806,-0.66844194,-0.68699561,
-61.53320000,-60.91641290,-0.61678710,-0.65383286,
-61.47440000,-60.94105484,-0.53334516,-0.62399994,
-61.44610000,-61.00000968,-0.44609032,-0.57498149,
-61.43290000,-61.06585806,-0.36704194,-0.50471209,
-61.39260000,-61.12805161,-0.26454839,-0.42059159,
-61.36910000,-61.16906774,-0.20003226,-0.33085365,
-61.26440000,-61.18484194,-0.07955806,-0.24012224,
-60.20840000,-61.18120323,0.97280323,-0.04118743,
-58.99480000,-61.16440968,2.16960968,0.47621678,
-58.99480000,-61.14629355,2.15149355,1.23998198,
-59.50380000,-61.12737419,1.62357419,1.81767661,
-60.25320000,-61.11105806,0.85785806,1.88738643,
-60.99430000,-61.09853548,0.10423548,1.46378305,
-61.52740000,-61.06535161,-0.46204839,0.76257542,
-61.77510000,-60.98509355,-0.79000645,0.03907406,
-61.73650000,-60.89254839,-0.84395161,-0.51590919,
-61.71130000,-60.81394516,-0.89735484,-0.83078516,
-61.33590000,-60.75614516,-0.57975484,-0.91737350,
-61.24770000,-60.72032581,-0.52737419,-0.82661455,
-61.18190000,-60.70037097,-0.48152903,-0.66928439,
-61.19190000,-60.70623548,-0.48566452,-0.54431913,
-61.15700000,-60.71453871,-0.44246129,-0.47486986,
-61.26120000,-60.72465806,-0.53654194,-0.45409652,
-61.26670000,-60.76665806,-0.50004194,-0.46923760,
-61.34570000,-60.83808387,-0.50761613,-0.49208973,
-61.28720000,-60.90666129,-0.38053871,-0.49133069,
-61.29680000,-60.95658065,-0.34021935,-0.45244285,
-61.15690000,-60.98290323,-0.17399677,-0.37801110,
-60.55690000,-60.98389677,0.42699677,-0.21920921,
-59.06870000,-60.96703871,1.89833871,0.20489236,
-58.70220000,-60.93535161,2.23315161,0.94815957,
-59.09650000,-60.90482903,1.80832903,1.65439642,
-59.68260000,-60.87387097,1.19127097,1.92000567,
-60.33570000,-60.85088710,0.51518710,1.68010734,
-60.81430000,-60.80953226,-0.00476774,1.11708580,
-61.57440000,-60.72419355,-0.85020645,0.42000563,
-61.62650000,-60.62302258,-1.00347742,-0.27276956,
-61.57810000,-60.54501613,-1.03308387,-0.79182697,
-61.51040000,-60.48684194,-1.02355806,-1.05369614,
-61.20900000,-60.45751613,-0.75148387,-1.09360698,
-61.12070000,-60.44662903,-0.67407097,-0.97872268,
-61.05130000,-60.45373226,-0.59756774,-0.81093059,
-61.06920000,-60.46047097,-0.60872903,-0.67568949,
-61.02510000,-60.46935806,-0.55574194,-0.59761785,
-61.00480000,-60.48810968,-0.51669032,-0.55667878,
-60.79280000,-60.55205484,-0.24074516,-0.50090718,
-60.79030000,-60.62727742,-0.16302258,-0.39219995,
-60.75160000,-60.69432903,-0.05727097,-0.25593097,
-60.62340000,-60.74537742,0.12197742,-0.11939588,
-59.96570000,-60.77937097,0.81367097,0.08335341,
-58.53640000,-60.79840000,2.26200000,0.54528014,
-58.05560000,-60.79352258,2.73792258,1.32820774,
-58.73880000,-60.78705806,2.04825806,2.05686043,
-59.45780000,-60.78197742,1.32417742,2.27605146,
-60.35760000,-60.77790323,0.42030323,1.91182175,
-61.00820000,-60.74066774,-0.26753226,1.17494770,
-61.50740000,-60.66070645,-0.84669355,0.33178778,
-61.50570000,-60.58219032,-0.92350968,-0.38722095,
-61.43240000,-60.53100968,-0.90139032,-0.83278334,-0.83278334
-61.13820000,-60.50608710,-0.63211290,-0.97433750,-0.97433750
-61.05100000,-60.50478710,-0.54621290,-0.88980268,-0.88980268
-61.03410000,-60.52567097,-0.50842903,-0.71967959,-0.71967959
-61.17510000,-60.55862903,-0.61647097,-0.59093714,-0.59093714
-61.26510000,-60.59323226,-0.67186774,-0.55625755,-0.55625755
-61.38950000,-60.63202258,-0.75747742,-0.59889713,-0.59889713
-61.40420000,-60.68813548,-0.71606452,-0.66717585,-0.66717585
-61.42320000,-60.79044194,-0.63275806,-0.70507881,-0.70507881
-61.42610000,-60.90908710,-0.51701290,-0.68197902,-0.68197902
-61.42060000,-61.00900645,-0.41159355,-0.60435279,-0.60435279
-61.38410000,-61.08581935,-0.29828065,-0.49573332,-0.49573332
-60.05470000,-61.13401613,1.07931613,-0.23918481,-0.23918481
-58.64190000,-61.16122258,2.51932258,0.41933764,0.41933764
-58.61730000,-61.17023871,2.55293871,1.38261041,1.38261041
-59.48260000,-61.17706774,1.69446774,2.09317828,2.09317828
-60.25250000,-61.18441290,0.93191290,2.15165311,2.15165311
-60.96450000,-61.19117742,0.22667742,1.64694764,1.64694764
-61.44020000,-61.15776774,-0.28243226,0.89512443,0.89512443
-61.81200000,-61.07693226,-0.73506774,0.15657447,0.15657447
-61.82430000,-61.00235484,-0.82194516,-0.42027890,-0.42027890
-61.82590000,-60.94406452,-0.88183548,-0.77102716,-0.77102716
-61.70520000,-60.90255484,-0.80264516,-0.91311563,-0.91311563
-61.70790000,-60.87966452,-0.82823548,-0.92075596,-0.92075596
