red_mean,luma_mean
-207.8130,-63.1335
21.1149,-63.3289
-208.2926,-63.6116
20.9251,-63.6809
-208.5079,-63.7762
21.0112,-63.7318
-208.8019,-63.9084
21.0168,-63.8835
-209.0437,-64.0522
21.0432,-63.9986
-209.0220,-63.9789
20.9035,-64.0510
-208.9961,-64.0277
21.0125,-63.9628
-208.9707,-63.9781
21.1975,-63.8800
-208.7540,-63.7858
21.4536,-63.6744
-208.7404,-63.6724
21.3679,-63.7435
-208.7987,-63.7823
21.4085,-63.7604
-208.7828,-63.7453
21.4206,-63.7353
-208.8853,-63.7899
21.1501,-63.9348
-208.8168,-63.9096
21.2517,-63.8458
-208.5364,-63.7451
21.4225,-63.6850
-207.9728,-63.4736
21.8346,-63.3293
-207.7095,-63.2217
21.8699,-63.2174
-207.6575,-63.2001
21.7733,-63.2852
-207.6821,-63.2965
21.6242,-63.3627
-207.7604,-63.4002
21.5139,-63.4663
-208.0911,-63.6391
21.3755,-63.7022
-208.4795,-63.8229
21.4369,-63.7789
-208.4449,-63.7595
21.4900,-63.7351
-208.3158,-63.6832
21.5692,-63.6144
-208.1172,-63.5319
21.6318,-63.4969
-207.9425,-63.4252
21.6594,-63.3903
-207.9010,-63.3610
21.6666,-63.3459
-207.8155,-63.3073
21.4654,-63.3884
-207.8820,-63.4273
21.4122,-63.4451
-207.8953,-63.4504
21.1329,-63.5613
-207.9116,-63.5639
20.9630,-63.6314
-208.3651,-63.8911
20.8550,-63.9142
-208.3321,-63.8975
20.8531,-63.8925
-208.4816,-63.9766
21.0438,-63.8605
-208.5435,-63.8862
20.8980,-63.9356
-208.9340,-64.1854
21.0183,-64.1022
-208.7014,-64.0181
21.3623,-63.8685
-208.3635,-63.7377
21.6535,-63.6376
-208.0709,-63.5197
22.0555,-63.3073
-207.7139,-63.1286
22.0685,-63.1140
-207.6777,-63.0890
22.0663,-63.0916
-207.5575,-63.0255
21.8263,-63.0824
-207.5667,-63.0850
21.6685,-63.1527
-207.5923,-63.1604
21.5881,-63.2002
-207.7401,-63.2672
21.6306,-63.2516
-208.2973,-63.5166
21.5772,-63.5341
-208.2667,-63.5302
21.5883,-63.5347
-208.3943,-63.6142
21.6924,-63.5451
-208.3233,-63.5223
21.8637,-63.4359
-208.2755,-63.4281
22.0937,-63.2722
-208.1975,-63.2395
22.0979,-63.2314
-208.1060,-63.1917
21.8953,-63.2964
-208.1446,-63.3208
21.8667,-63.3383
-208.1129,-63.3267
21.8322,-63.3228
-208.0571,-63.2924
21.8649,-63.2714
-207.9369,-63.2047
21.8122,-63.2158
-207.9702,-63.2296
21.8726,-63.1887
-207.7649,-63.0910
21.5754,-63.2315
-207.8132,-63.2597
21.5671,-63.2720
-207.7258,-63.2515
21.7786,-63.1958
-207.5768,-63.1414
22.2280,-62.9459
-207.1698,-62.8518
22.2311,-62.7975
-206.8816,-62.6300
22.3186,-62.5833
-206.9881,-62.6159
22.1546,-62.6843
-207.0017,-62.6867
22.1524,-62.6847
-207.0149,-62.7020
21.8444,-62.8842
-207.1449,-62.9626
21.7792,-63.0230
-207.2115,-63.0796
21.7949,-63.0904
-207.1847,-63.0791
21.8743,-63.0540
-207.1141,-63.0258
21.8305,-63.0630
-207.0703,-63.0516
21.8337,-63.0647
-206.9666,-63.0335
21.8754,-63.0250
-206.9989,-63.0481
21.9200,-63.0341
-206.9701,-63.1671
21.9722,-63.1168
-207.0362,-63.1529
21.6763,-63.2981
-207.3389,-63.4671
21.6713,-63.4223
-207.2797,-63.3618
21.7155,-63.3170
-207.9018,-63.5777
21.3673,-63.6881
-207.9526,-63.7047
21.3343,-63.7228
-207.8931,-63.6919
21.2665,-63.6890
-207.7808,-63.6301
21.3691,-63.5820
-207.5579,-63.4814
21.6359,-63.3541
-207.3045,-63.2701
22.1362,-63.0612
-206.4589,-62.7645
22.3831,-62.6189
-206.3102,-62.5481
22.3888,-62.5370
-206.1943,-62.4889
22.2326,-62.5685
-206.1780,-62.5732
22.2415,-62.5737
-206.1213,-62.5570
22.1418,-62.6185
-206.1015,-62.6227
22.1232,-62.6456
-206.4243,-62.8457
21.8023,-63.0240
-206.6846,-63.1314
21.6809,-63.1936
-206.9190,-63.3219
21.4981,-63.4126
-207.1178,-63.5089
21.5204,-63.5009
-206.9730,-63.5644
21.4750,-63.5497
-206.9601,-63.5448
21.4819,-63.5308
-206.8456,-63.4614
21.4110,-63.4812
-206.8733,-63.4990
21.3901,-63.5168
-206.8455,-63.5017
21.3976,-63.4672
-206.7497,-63.4284
21.4548,-63.4016
-206.6200,-63.3405
21.4580,-63.3372
-206.6159,-63.3353
21.4717,-63.3309
-206.5469,-63.3027
21.4552,-63.3005
-206.6262,-63.3331
21.4776,-63.3236
-206.6265,-63.3216
21.9175,-63.1167
-206.1823,-62.9063
22.1915,-62.7853
-205.9870,-62.7666
22.2191,-62.7270
-205.8458,-62.6678
22.5211,-62.5077
-206.0718,-62.5863
22.3535,-62.6338
-206.0736,-62.6416
22.3380,-62.6460
-206.0611,-62.6368
21.8725,-62.8664
-206.2097,-62.9539
21.7809,-62.9954
-206.2807,-63.0458
21.6919,-63.0920
-206.2718,-63.0898
21.6823,-63.0925
-206.2683,-63.0879
21.3658,-63.2745
-206.2692,-63.2822
21.3724,-63.2868
-206.1792,-63.2337
21.3950,-63.2240
-206.0449,-63.1522
21.3550,-63.1664
-206.3998,-63.4099
21.2630,-63.4537
-206.3828,-63.4498
21.3086,-63.3965
-206.7096,-63.5661
21.3707,-63.5102
-206.7366,-63.5061
21.3443,-63.5010
-206.7001,-63.4799
21.2169,-63.5427
-206.8007,-63.5798
21.1177,-63.6129
-206.8387,-63.6277
21.3017,-63.5265
-206.4441,-63.3285
21.8538,-63.0914
-205.9681,-62.9861
21.9582,-62.8959
-205.9302,-62.8701
21.9932,-62.8492
-205.8554,-62.8142
21.8801,-62.8391
-205.8600,-62.8454
21.8612,-62.8520
-205.8426,-62.8468
21.4137,-63.0880
-206.1036,-63.2344
21.2518,-63.3263
-206.0877,-63.3355
21.1235,-63.4035
-206.0852,-63.3981
21.1391,-63.3891
-206.0525,-63.3676
21.1311,-63.3807
